"Name","Time","TimesExec","PSVersion","OS","CLR","WorkSet","Total","Assert","Max","Min","Samples","Score"
"For(){}","00:00:00.0001209","3","7.1.4","Mac","CoreCLR","24576","00:00:00.0008464","True","00:00:00.0001414","00:00:00.0001113","7","1"
"Foreach(){}","00:00:00.0001328","8","7.1.4","Mac","CoreCLR","0","00:00:00.0009297","True","00:00:00.0001773","00:00:00.0001055","7","1"
"While(){}","00:00:00.0001554","8","7.1.4","Mac","CoreCLR","57344","00:00:00.0010880","True","00:00:00.0002094","00:00:00.0001287","7","1.1701807228915662"
"Do{}Until()","00:00:00.0001557","8","7.1.4","Mac","CoreCLR","0","00:00:00.0010900","True","00:00:00.0002173","00:00:00.0001385","7","1.1724397590361446"
"For(){}","00:00:00.0001582","8","7.1.4","Mac","CoreCLR","16384","00:00:00.0011076","True","00:00:00.0002612","00:00:00.0001170","7","1.1912650602409638"
"While(){}","00:00:00.0001589","13","7.1.4","Mac","CoreCLR","4096","00:00:00.0011121","True","00:00:00.0001866","00:00:00.0001465","7","1"
"Do{}Until()","00:00:00.0001598","3","7.1.4","Mac","CoreCLR","45056","00:00:00.0011189","True","00:00:00.0002459","00:00:00.0001116","7","1.3217535153019024"
"Foreach(){}","00:00:00.0001611","3","7.1.4","Mac","CoreCLR","12288","00:00:00.0011275","True","00:00:00.0002645","00:00:00.0000949","7","1.3325062034739454"
"Foreach(){}","00:00:00.0001681","21","7.1.4","Mac","CoreCLR","-90112","00:00:00.0011767","True","00:00:00.0002544","00:00:00.0001322","7","1"
"For(){}","00:00:00.0001803","13","7.1.4","Mac","CoreCLR","45056","00:00:00.0012619","True","00:00:00.0002232","00:00:00.0001456","7","1.1346758967904342"
"Do{}While()","00:00:00.0001872","3","7.1.4","Mac","CoreCLR","0","00:00:00.0013106","True","00:00:00.0003894","00:00:00.0001218","7","1.5483870967741935"
"While(){}","00:00:00.0001990","3","7.1.4","Mac","CoreCLR","0","00:00:00.0013927","True","00:00:00.0007195","00:00:00.0000829","7","1.6459884201819686"
".Foreach({})","00:00:00.0002027","3","7.1.4","Mac","CoreCLR","0","00:00:00.0014192","True","00:00:00.0004898","00:00:00.0001017","7","1.6765922249793217"
"Do{}While()","00:00:00.0002055","13","7.1.4","Mac","CoreCLR","8192","00:00:00.0014387","True","00:00:00.0002691","00:00:00.0001579","7","1.2932662051604782"
"Do{}While()","00:00:00.0002062","8","7.1.4","Mac","CoreCLR","20480","00:00:00.0014431","True","00:00:00.0005739","00:00:00.0001122","7","1.552710843373494"
"For(){}","00:00:00.0002067","21","7.1.4","Mac","CoreCLR","-253952","00:00:00.0014466","True","00:00:00.0002474","00:00:00.0001911","7","1.229625223081499"
"Do{}While()","00:00:00.0002111","21","7.1.4","Mac","CoreCLR","4096","00:00:00.0014775","True","00:00:00.0002351","00:00:00.0001942","7","1.2558001189767996"
"Do{}Until()","00:00:00.0002260","21","7.1.4","Mac","CoreCLR","4096","00:00:00.0015821","True","00:00:00.0002927","00:00:00.0001887","7","1.3444378346222488"
"While(){}","00:00:00.0002384","21","7.1.4","Mac","CoreCLR","49152","00:00:00.0016685","True","00:00:00.0002620","00:00:00.0002120","7","1.418203450327186"
".Foreach({})","00:00:00.0002390","8","7.1.4","Mac","CoreCLR","0","00:00:00.0016730","True","00:00:00.0002900","00:00:00.0001982","7","1.7996987951807228"
"Foreach(){}","00:00:00.0002642","1","7.1.4","Mac","CoreCLR","0","00:00:00.0018493","True","00:00:00.0011322","00:00:00.0001079","7","1"
"Foreach(){}","00:00:00.0002932","100","7.1.4","Mac","CoreCLR","0","00:00:00.0020526","True","00:00:00.0003333","00:00:00.0002728","7","1"
".Foreach({})","00:00:00.0003257","21","7.1.4","Mac","CoreCLR","0","00:00:00.0022800","True","00:00:00.0004038","00:00:00.0002960","7","1.9375371802498513"
"Do{}Until()","00:00:00.0003354","13","7.1.4","Mac","CoreCLR","274432","00:00:00.0023479","True","00:00:00.0011401","00:00:00.0001467","7","2.1107614852108245"
"|AnonymusPipe","00:00:00.0003410","3","7.1.4","Mac","CoreCLR","0","00:00:00.0023869","True","00:00:00.0003812","00:00:00.0003006","7","2.8205128205128207"
"Do{}While()","00:00:00.0003643","1","7.1.4","Mac","CoreCLR","86016","00:00:00.0025499","True","00:00:00.0017477","00:00:00.0001042","7","1.37887963663891"
"|AnonymusPipe","00:00:00.0003758","8","7.1.4","Mac","CoreCLR","4096","00:00:00.0026307","True","00:00:00.0005825","00:00:00.0002721","7","2.8298192771084336"
"|AnonymusPipeVar","00:00:00.0004229","3","7.1.4","Mac","CoreCLR","12288","00:00:00.0029603","True","00:00:00.0006741","00:00:00.0003260","7","3.4979321753515302"
"|AnonymusPipe","00:00:00.0004524","13","7.1.4","Mac","CoreCLR","266240","00:00:00.0031667","True","00:00:00.0014011","00:00:00.0002576","7","2.8470736312146006"
"Do{}Until()","00:00:00.0005439","1","7.1.4","Mac","CoreCLR","0","00:00:00.0038075","True","00:00:00.0030016","00:00:00.0000959","7","2.058667676003028"
"|AnonymusPipeVar","00:00:00.0006161","100","7.1.4","Mac","CoreCLR","12288","00:00:00.0043130","True","00:00:00.0007446","00:00:00.0005433","7","2.101296043656207"
"Do{}Until()","00:00:00.0006465","100","7.1.4","Mac","CoreCLR","0","00:00:00.0045253","True","00:00:00.0006583","00:00:00.0006332","7","2.2049795361527966"
"|AnonymusPipeVar","00:00:00.0007481","8","7.1.4","Mac","CoreCLR","0","00:00:00.0052364","True","00:00:00.0015761","00:00:00.0003741","7","5.633283132530121"
"For(){}","00:00:00.0007676","100","7.1.4","Mac","CoreCLR","32768","00:00:00.0053731","True","00:00:00.0011080","00:00:00.0006320","7","2.6180081855388813"
"While(){}","00:00:00.0008077","100","7.1.4","Mac","CoreCLR","0","00:00:00.0056542","True","00:00:00.0011038","00:00:00.0006171","7","2.754774897680764"
"Do{}While()","00:00:00.0010141","100","7.1.4","Mac","CoreCLR","20480","00:00:00.0070985","True","00:00:00.0023597","00:00:00.0006465","7","3.458731241473397"
"|AnonymusPipe","00:00:00.0010400","100","7.1.4","Mac","CoreCLR","-4096","00:00:00.0072803","True","00:00:00.0023321","00:00:00.0006681","7","3.5470668485675305"
"|AnonymusPipeVar","00:00:00.0014080","13","7.1.4","Mac","CoreCLR","-700416","00:00:00.0098558","True","00:00:00.0071159","00:00:00.0003378","7","8.860918816865954"
"While(){}","00:00:00.0020207","1","7.1.4","Mac","CoreCLR","0","00:00:00.0141449","True","00:00:00.0133873","00:00:00.0001173","7","7.648372445117335"
"|Foreach{}","00:00:00.0022542","21","7.1.4","Mac","CoreCLR","32768","00:00:00.0157797","True","00:00:00.0082697","00:00:00.0010183","7","13.4098750743605"
"Foreach(){}","00:00:00.0023234","1000","7.1.4","Mac","CoreCLR","0","00:00:00.0162639","True","00:00:00.0028215","00:00:00.0015952","7","1"
"|AnonymusPipe","00:00:00.0036944","1","7.1.4","Mac","CoreCLR","4096","00:00:00.0258611","True","00:00:00.0228224","00:00:00.0003017","7","13.983345950037851"
".Foreach({})","00:00:00.0041398","1","7.1.4","Mac","CoreCLR","630784","00:00:00.0289788","True","00:00:00.0282449","00:00:00.0001095","7","15.669190007570023"
"|Foreach{}","00:00:00.0047725","1","7.1.4","Mac","CoreCLR","49152","00:00:00.0334074","True","00:00:00.0228407","00:00:00.0006158","7","18.063966691900077"
"For(){}","00:00:00.0048541","1","7.1.4","Mac","CoreCLR","122880","00:00:00.0339790","True","00:00:00.0334384","00:00:00.0000800","7","18.372823618470857"
"Foreach(){}","00:00:00.0052786","13","7.1.4","Mac","CoreCLR","8192","00:00:00.0369500","True","00:00:00.0360857","00:00:00.0001338","7","33.2196349905601"
".Foreach({})","00:00:00.0063171","13","7.1.4","Mac","CoreCLR","16384","00:00:00.0442197","True","00:00:00.0425975","00:00:00.0001603","7","39.755191944619256"
"|AnonymusPipe","00:00:00.0070709","21","7.1.4","Mac","CoreCLR","12288","00:00:00.0494966","True","00:00:00.0472139","00:00:00.0003363","7","42.06365258774539"
".Foreach({})","00:00:00.0077255","100","7.1.4","Mac","CoreCLR","20480","00:00:00.0540783","True","00:00:00.0479305","00:00:00.0008918","7","26.348908594815825"
"|Foreach{}","00:00:00.0097715","3","7.1.4","Mac","CoreCLR","36864","00:00:00.0684002","True","00:00:00.0600363","00:00:00.0005221","7","80.82299421009098"
"|AnonymusPipeVar","00:00:00.0101910","1","7.1.4","Mac","CoreCLR","45056","00:00:00.0713367","True","00:00:00.0666612","00:00:00.0002607","7","38.57305071915216"
"|AnonymusPipeVar","00:00:00.0105843","21","7.1.4","Mac","CoreCLR","28672","00:00:00.0740900","True","00:00:00.0631611","00:00:00.0003483","7","62.96430696014277"
"|Foreach{}","00:00:00.0107756","8","7.1.4","Mac","CoreCLR","53248","00:00:00.0754289","True","00:00:00.0699077","00:00:00.0006296","7","81.14156626506023"
"|Foreach{}","00:00:00.0116322","13","7.1.4","Mac","CoreCLR","204800","00:00:00.0814257","True","00:00:00.0758081","00:00:00.0005553","7","73.20453115166771"
"|AnonymusPipeVar","00:00:00.0117995","1000","7.1.4","Mac","CoreCLR","0","00:00:00.0825962","True","00:00:00.0249929","00:00:00.0043524","7","5.078548678660583"
"|AnonymusPipe","00:00:00.0168737","1000","7.1.4","Mac","CoreCLR","-1261568","00:00:00.1181157","True","00:00:00.0304457","00:00:00.0048822","7","7.2625032280278905"
"Do{}Until()","00:00:00.0190584","1000","7.1.4","Mac","CoreCLR","0","00:00:00.1334088","True","00:00:00.0525681","00:00:00.0057741","7","8.202806232245846"
"|Foreach{}","00:00:00.0211021","100","7.1.4","Mac","CoreCLR","20480","00:00:00.1477149","True","00:00:00.0770899","00:00:00.0030844","7","71.97169167803547"
"While(){}","00:00:00.0232953","1000","7.1.4","Mac","CoreCLR","-401408","00:00:00.1630672","True","00:00:00.0453611","00:00:00.0062427","7","10.026383747955583"
"Do{}While()","00:00:00.0234669","1000","7.1.4","Mac","CoreCLR","0","00:00:00.1642682","True","00:00:00.0418194","00:00:00.0059855","7","10.100241026082465"
"For(){}","00:00:00.0330168","1000","7.1.4","Mac","CoreCLR","0","00:00:00.2311178","True","00:00:00.0506958","00:00:00.0106762","7","14.210553499182232"
".Foreach({})","00:00:00.0815614","1000","7.1.4","Mac","CoreCLR","1200128","00:00:00.5709301","True","00:00:00.1967123","00:00:00.0162017","7","35.10432986141"
"Foreach(){}","00:00:00.1004235","10000","7.1.4","Mac","CoreCLR","-4624384","00:00:00.7029648","True","00:00:00.1263299","00:00:00.0674284","7","1"
"|Foreach{}","00:00:00.1018898","1000","7.1.4","Mac","CoreCLR","-1024000","00:00:00.7132288","True","00:00:00.1204804","00:00:00.0860438","7","43.853748816389775"
"|AnonymusPipeVar","00:00:00.1396314","10000","7.1.4","Mac","CoreCLR","-18296832","00:00:00.9774196","True","00:00:00.2011327","00:00:00.0990483","7","1.3904255478050456"
"|AnonymusPipe","00:00:00.1534130","10000","7.1.4","Mac","CoreCLR","-17534976","00:00:01.0738910","True","00:00:00.2065466","00:00:00.1242456","7","1.5276603583822512"
"While(){}","00:00:00.1768460","10000","7.1.4","Mac","CoreCLR","-11329536","00:00:01.2379223","True","00:00:00.1990593","00:00:00.1580575","7","1.761002155869891"
"Do{}Until()","00:00:00.2072718","10000","7.1.4","Mac","CoreCLR","-19099648","00:00:01.4509029","True","00:00:00.2240133","00:00:00.1815700","7","2.0639770571629152"
"For(){}","00:00:00.2222446","10000","7.1.4","Mac","CoreCLR","-28004352","00:00:01.5557121","True","00:00:00.2688140","00:00:00.1840624","7","2.2130736331635523"
"Do{}While()","00:00:00.2437366","10000","7.1.4","Mac","CoreCLR","-10125312","00:00:01.7061559","True","00:00:00.2716946","00:00:00.2066282","7","2.4270872853465573"
".Foreach({})","00:00:00.4639551","10000","7.1.4","Mac","CoreCLR","13049856","00:00:03.2476859","True","00:00:00.7654272","00:00:00.3350233","7","4.619985361991964"
"Foreach(){}","00:00:00.7404307","100000","7.1.4","Mac","CoreCLR","-33763328","00:00:05.1830149","True","00:00:00.7774676","00:00:00.7006790","7","1"
