"Name","Time","TimesExec","PSVersion","OS","CLR","WorkSet","Total","Assert","Max","Min","Samples","Score"
"Foreach(){}","00:00:00.0000339","3","7.1.4","Win","CoreCLR","4096","00:00:00.0002375","True","00:00:00.0000609","00:00:00.0000285","7","1"
"Foreach(){}","00:00:00.0000348","8","7.1.4","Win","CoreCLR","0","00:00:00.0002438","True","00:00:00.0000720","00:00:00.0000277","7","1"
"For(){}","00:00:00.0000349","3","7.1.4","Win","CoreCLR","0","00:00:00.0002442","True","00:00:00.0000655","00:00:00.0000288","7","1,0294985250737463"
"Foreach(){}","00:00:00.0000370","13","7.1.4","Win","CoreCLR","0","00:00:00.0002588","True","00:00:00.0000569","00:00:00.0000319","7","1"
"Do{}While()","00:00:00.0000373","3","7.1.4","Win","CoreCLR","4096","00:00:00.0002612","True","00:00:00.0000588","00:00:00.0000308","7","1,1002949852507375"
".Foreach({})","00:00:00.0000381","3","7.1.4","Win","CoreCLR","0","00:00:00.0002668","True","00:00:00.0000592","00:00:00.0000337","7","1,1238938053097345"
"Do{}While()","00:00:00.0000383","8","7.1.4","Win","CoreCLR","0","00:00:00.0002683","True","00:00:00.0000629","00:00:00.0000333","7","1,1005747126436782"
"For(){}","00:00:00.0000405","8","7.1.4","Win","CoreCLR","0","00:00:00.0002835","True","00:00:00.0000684","00:00:00.0000354","7","1,1637931034482758"
"Do{}Until()","00:00:00.0000479","3","7.1.4","Win","CoreCLR","4096","00:00:00.0003354","True","00:00:00.0000966","00:00:00.0000304","7","1,4129793510324484"
"For(){}","00:00:00.0000488","13","7.1.4","Win","CoreCLR","0","00:00:00.0003415","True","00:00:00.0000760","00:00:00.0000416","7","1,318918918918919"
".Foreach({})","00:00:00.0000634","13","7.1.4","Win","CoreCLR","0","00:00:00.0004440","True","00:00:00.0000842","00:00:00.0000577","7","1,7135135135135136"
"While(){}","00:00:00.0000644","3","7.1.4","Win","CoreCLR","40960","00:00:00.0004506","True","00:00:00.0001073","00:00:00.0000533","7","1,8997050147492625"
"Do{}Until()","00:00:00.0000658","8","7.1.4","Win","CoreCLR","0","00:00:00.0004605","True","00:00:00.0001010","00:00:00.0000584","7","1,8908045977011494"
"While(){}","00:00:00.0000747","8","7.1.4","Win","CoreCLR","0","00:00:00.0005228","True","00:00:00.0001152","00:00:00.0000588","7","2,146551724137931"
"Foreach(){}","00:00:00.0000782","21","7.1.4","Win","CoreCLR","24576","00:00:00.0005471","True","00:00:00.0001194","00:00:00.0000676","7","1"
"|AnonymusPipe","00:00:00.0000785","3","7.1.4","Win","CoreCLR","0","00:00:00.0005494","True","00:00:00.0001217","00:00:00.0000679","7","2,3156342182890857"
"|AnonymusPipeVar","00:00:00.0000802","3","7.1.4","Win","CoreCLR","0","00:00:00.0005617","True","00:00:00.0001200","00:00:00.0000712","7","2,365781710914454"
"Do{}Until()","00:00:00.0000803","21","7.1.4","Win","CoreCLR","45056","00:00:00.0005623","True","00:00:00.0000983","00:00:00.0000525","7","1,026854219948849"
"Foreach(){}","00:00:00.0000808","100","7.1.4","Win","CoreCLR","0","00:00:00.0005659","True","00:00:00.0001045","00:00:00.0000686","7","1"
"While(){}","00:00:00.0000815","13","7.1.4","Win","CoreCLR","0","00:00:00.0005708","True","00:00:00.0001183","00:00:00.0000706","7","2,2027027027027026"
"Foreach(){}","00:00:00.0000839","1","7.1.4","Win","CoreCLR","0","00:00:00.0005871","True","00:00:00.0004245","00:00:00.0000256","7","1"
"|AnonymusPipe","00:00:00.0000859","13","7.1.4","Win","CoreCLR","1781760","00:00:00.0006016","True","00:00:00.0001215","00:00:00.0000790","7","2,3216216216216217"
"|AnonymusPipeVar","00:00:00.0000872","13","7.1.4","Win","CoreCLR","0","00:00:00.0006101","True","00:00:00.0001324","00:00:00.0000778","7","2,3567567567567567"
"For(){}","00:00:00.0000876","21","7.1.4","Win","CoreCLR","0","00:00:00.0006135","True","00:00:00.0001163","00:00:00.0000576","7","1,1202046035805626"
"Do{}While()","00:00:00.0000890","13","7.1.4","Win","CoreCLR","0","00:00:00.0006227","True","00:00:00.0001112","00:00:00.0000779","7","2,4054054054054053"
"Do{}Until()","00:00:00.0000928","13","7.1.4","Win","CoreCLR","8192","00:00:00.0006495","True","00:00:00.0001376","00:00:00.0000793","7","2,5081081081081082"
"While(){}","00:00:00.0000961","1","7.1.4","Win","CoreCLR","4096","00:00:00.0006729","True","00:00:00.0005149","00:00:00.0000245","7","1,1454112038140645"
"Do{}While()","00:00:00.0000987","1","7.1.4","Win","CoreCLR","0","00:00:00.0006907","True","00:00:00.0004749","00:00:00.0000278","7","1,1764004767580454"
"|AnonymusPipeVar","00:00:00.0001007","8","7.1.4","Win","CoreCLR","0","00:00:00.0007047","True","00:00:00.0001545","00:00:00.0000859","7","2,8936781609195403"
"|AnonymusPipe","00:00:00.0001129","8","7.1.4","Win","CoreCLR","0","00:00:00.0007901","True","00:00:00.0001456","00:00:00.0000866","7","3,2442528735632186"
".Foreach({})","00:00:00.0001188","21","7.1.4","Win","CoreCLR","4096","00:00:00.0008316","True","00:00:00.0001502","00:00:00.0000807","7","1,5191815856777493"
"While(){}","00:00:00.0001246","21","7.1.4","Win","CoreCLR","4096","00:00:00.0008725","True","00:00:00.0001623","00:00:00.0001105","7","1,5933503836317136"
"|AnonymusPipe","00:00:00.0001259","1","7.1.4","Win","CoreCLR","0","00:00:00.0008814","True","00:00:00.0004710","00:00:00.0000624","7","1,500595947556615"
"|AnonymusPipe","00:00:00.0001294","21","7.1.4","Win","CoreCLR","0","00:00:00.0009060","True","00:00:00.0001836","00:00:00.0001145","7","1,6547314578005115"
"|Foreach{}","00:00:00.0001338","3","7.1.4","Win","CoreCLR","0","00:00:00.0009365","True","00:00:00.0001723","00:00:00.0001243","7","3,9469026548672566"
