"Name","Time","TimesExec","PSVersion","OS","CLR","WorkSet","Total","Assert","Max","Min","Samples","Score"
"[Void]Stuff","00:00:00.0001001","1","7.1.4","Mac","CoreCLR","86016","00:00:00.0010008","True","00:00:00.0005070","00:00:00.0000443","10","1"
"Stuff*>Null","00:00:00.0001417","1","7.1.4","Mac","CoreCLR","0","00:00:00.0014167","True","00:00:00.0006835","00:00:00.0000631","10","1.4155844155844155"
"Null=stuff","00:00:00.0001961","13","7.1.4","Mac","CoreCLR","0","00:00:00.0019608","True","00:00:00.0010632","00:00:00.0000874","10","1"
"[Void]Stuff","00:00:00.0002008","13","7.1.4","Mac","CoreCLR","0","00:00:00.0020079","True","00:00:00.0009598","00:00:00.0001019","10","1.023967363590005"
"Stuff*>Null","00:00:00.0002235","8","7.1.4","Mac","CoreCLR","32768","00:00:00.0022346","True","00:00:00.0011051","00:00:00.0000911","10","1"
"Stuff>Null","00:00:00.0002383","8","7.1.4","Mac","CoreCLR","12288","00:00:00.0023827","True","00:00:00.0012442","00:00:00.0001123","10","1.0662192393736019"
"Stuff|OutNull","00:00:00.0002593","1","7.1.4","Mac","CoreCLR","0","00:00:00.0025928","True","00:00:00.0014171","00:00:00.0000969","10","2.5904095904095903"
"Stuff*>Null","00:00:00.0002919","21","7.1.4","Mac","CoreCLR","16384","00:00:00.0029188","True","00:00:00.0012436","00:00:00.0001329","10","1"
"[Void]Stuff","00:00:00.0003027","8","7.1.4","Mac","CoreCLR","12288","00:00:00.0030270","True","00:00:00.0010818","00:00:00.0001204","10","1.3543624161073826"
"Null=stuff","00:00:00.0003047","1","7.1.4","Mac","CoreCLR","434176","00:00:00.0030466","True","00:00:00.0022137","00:00:00.0000511","10","3.043956043956044"
"Stuff*>Null","00:00:00.0003121","13","7.1.4","Mac","CoreCLR","32768","00:00:00.0031213","True","00:00:00.0013323","00:00:00.0001323","10","1.5915349311575726"
"Stuff|OutNull","00:00:00.0003349","3","7.1.4","Mac","CoreCLR","16384","00:00:00.0033491","True","00:00:00.0014173","00:00:00.0001387","10","1"
"Stuff>Null","00:00:00.0003424","3","7.1.4","Mac","CoreCLR","24576","00:00:00.0034244","True","00:00:00.0018598","00:00:00.0001130","10","1.0223947446999104"
"Stuff>Null","00:00:00.0004182","1","7.1.4","Mac","CoreCLR","16384","00:00:00.0041821","True","00:00:00.0026525","00:00:00.0000852","10","4.177822177822178"
"Stuff>Null","00:00:00.0004591","13","7.1.4","Mac","CoreCLR","16384","00:00:00.0045908","True","00:00:00.0021919","00:00:00.0001708","10","2.341152473227945"
"Null=stuff","00:00:00.0005544","8","7.1.4","Mac","CoreCLR","73728","00:00:00.0055437","True","00:00:00.0035843","00:00:00.0000779","10","2.4805369127516776"
"Stuff*>Null","00:00:00.0006158","3","7.1.4","Mac","CoreCLR","0","00:00:00.0061583","True","00:00:00.0039349","00:00:00.0000836","10","1.8387578381606449"
"Stuff>Null","00:00:00.0006314","21","7.1.4","Mac","CoreCLR","4096","00:00:00.0063136","True","00:00:00.0033556","00:00:00.0001201","10","2.1630695443645083"
"Stuff>Null","00:00:00.0006881","100","7.1.4","Mac","CoreCLR","0","00:00:00.0068810","True","00:00:00.0018516","00:00:00.0002702","10","1"
"[Void]Stuff","00:00:00.0007581","21","7.1.4","Mac","CoreCLR","20480","00:00:00.0075811","True","00:00:00.0053783","00:00:00.0000959","10","2.597122302158273"
"Stuff*>Null","00:00:00.0008459","100","7.1.4","Mac","CoreCLR","24576","00:00:00.0084589","True","00:00:00.0018231","00:00:00.0002946","10","1.2293271326842028"
"[Void]Stuff","00:00:00.0014705","100","7.1.4","Mac","CoreCLR","20480","00:00:00.0147048","True","00:00:00.0078011","00:00:00.0001790","10","2.1370440342973405"
"Null=stuff","00:00:00.0015314","100","7.1.4","Mac","CoreCLR","24576","00:00:00.0153143","True","00:00:00.0087780","00:00:00.0002205","10","2.225548612120331"
"[Void]Stuff","00:00:00.0017823","3","7.1.4","Mac","CoreCLR","0","00:00:00.0178229","True","00:00:00.0166857","00:00:00.0001089","10","5.321887130486712"
"Null=stuff","00:00:00.0020460","3","7.1.4","Mac","CoreCLR","8192","00:00:00.0204599","True","00:00:00.0192269","00:00:00.0000847","10","6.109286354135563"
"Stuff|OutNull","00:00:00.0037168","13","7.1.4","Mac","CoreCLR","24576","00:00:00.0371683","True","00:00:00.0325451","00:00:00.0002862","10","18.9535951045385"
"Stuff|OutNull","00:00:00.0040621","8","7.1.4","Mac","CoreCLR","24576","00:00:00.0406214","True","00:00:00.0324994","00:00:00.0002527","10","18.174944071588367"
"Null=stuff","00:00:00.0054443","21","7.1.4","Mac","CoreCLR","253952","00:00:00.0544431","True","00:00:00.0531480","00:00:00.0001327","10","18.651250428228845"
"Stuff|OutNull","00:00:00.0058267","21","7.1.4","Mac","CoreCLR","57344","00:00:00.0582673","True","00:00:00.0507506","00:00:00.0004030","10","19.96128811236725"
"Stuff|OutNull","00:00:00.0085077","100","7.1.4","Mac","CoreCLR","958464","00:00:00.0850768","True","00:00:00.0582787","00:00:00.0017094","10","12.364045923557622"
"Stuff*>Null","00:00:00.0087157","1000","7.1.4","Mac","CoreCLR","-2093056","00:00:00.0871568","True","00:00:00.0599832","00:00:00.0019259","10","1"
"[Void]Stuff","00:00:00.0090048","1000","7.1.4","Mac","CoreCLR","-311296","00:00:00.0900483","True","00:00:00.0368561","00:00:00.0012027","10","1.0331700265038952"
"Null=stuff","00:00:00.0115553","1000","7.1.4","Mac","CoreCLR","28672","00:00:00.1155533","True","00:00:00.0600648","00:00:00.0011463","10","1.3258028615028052"
"Stuff>Null","00:00:00.0433950","1000","7.1.4","Mac","CoreCLR","5509120","00:00:00.4339498","True","00:00:00.2728945","00:00:00.0017915","10","4.978946039904999"
"Null=stuff","00:00:00.0777249","10000","7.1.4","Mac","CoreCLR","-450560","00:00:00.7772492","True","00:00:00.1221754","00:00:00.0194837","10","1"
"[Void]Stuff","00:00:00.1393027","10000","7.1.4","Mac","CoreCLR","-2957312","00:00:01.3930270","True","00:00:00.2848002","00:00:00.0147140","10","1.792253190419029"
"Stuff*>Null","00:00:00.1679787","10000","7.1.4","Mac","CoreCLR","253952","00:00:01.6797869","True","00:00:00.3686129","00:00:00.0238566","10","2.161195447018909"
"Stuff>Null","00:00:00.1740731","10000","7.1.4","Mac","CoreCLR","188416","00:00:01.7407314","True","00:00:00.3159017","00:00:00.0641581","10","2.2396053259637516"
"Stuff|OutNull","00:00:00.1848488","1000","7.1.4","Mac","CoreCLR","-1159168","00:00:01.8484885","True","00:00:00.3632181","00:00:00.0555290","10","21.208715306860036"
"[Void]Stuff","00:00:00.4565878","100000","7.1.4","Mac","CoreCLR","-20480","00:00:04.5658779","True","00:00:00.5172961","00:00:00.3422810","10","1"
"Null=stuff","00:00:00.5359409","100000","7.1.4","Mac","CoreCLR","4464640","00:00:05.3594094","True","00:00:01.0036246","00:00:00.3389407","10","1.1737959270922262"
"Stuff*>Null","00:00:00.6840404","100000","7.1.4","Mac","CoreCLR","557056","00:00:06.8404036","True","00:00:00.7830023","00:00:00.5532036","10","1.4981574190111957"
"Stuff>Null","00:00:00.7152052","100000","7.1.4","Mac","CoreCLR","520192","00:00:07.1520518","True","00:00:00.8172874","00:00:00.6355114","10","1.5664132944419453"
"Stuff|OutNull","00:00:00.7330351","10000","7.1.4","Mac","CoreCLR","217088","00:00:07.3303514","True","00:00:01.2285747","00:00:00.5124521","10","9.431148833900076"
"Stuff|OutNull","00:00:05.4969059","100000","7.1.4","Mac","CoreCLR","-21311488","00:00:54.9690589","True","00:00:05.7934711","00:00:05.0853150","10","12.039099380228732"
