"Name","Time","TimesExec","PSVersion","OS","CLR","WorkSet","Total","Assert","Max","Min","Samples","Score"
"Null=stuff","00:00:00.0000261","1","7.1.4","Win","CoreCLR","352256","00:00:00.0002613","False","00:00:00.0001774","00:00:00.0000083","10","1"
"[Void]Stuff","00:00:00.0000272","1","7.1.4","Win","CoreCLR","20480","00:00:00.0002719","False","00:00:00.0001881","00:00:00.0000088","10","1,0421455938697317"
"Stuff*>Null","00:00:00.0000392","1","7.1.4","Win","CoreCLR","0","00:00:00.0003923","False","00:00:00.0002569","00:00:00.0000125","10","1,5019157088122606"
"Null=stuff","00:00:00.0000479","8","7.1.4","Win","CoreCLR","0","00:00:00.0004790","False","00:00:00.0002936","00:00:00.0000185","10","1"
"Null=stuff","00:00:00.0000502","3","7.1.4","Win","CoreCLR","8192","00:00:00.0005024","False","00:00:00.0003126","00:00:00.0000170","10","1"
"[Void]Stuff","00:00:00.0000557","8","7.1.4","Win","CoreCLR","0","00:00:00.0005572","False","00:00:00.0003338","00:00:00.0000185","10","1,162839248434238"
"[Void]Stuff","00:00:00.0000558","3","7.1.4","Win","CoreCLR","0","00:00:00.0005576","False","00:00:00.0003244","00:00:00.0000176","10","1,1115537848605577"
"Null=stuff","00:00:00.0000571","13","7.1.4","Win","CoreCLR","4096","00:00:00.0005708","False","00:00:00.0003666","00:00:00.0000207","10","1"
"Stuff|OutNull","00:00:00.0000630","1","7.1.4","Win","CoreCLR","0","00:00:00.0006298","False","00:00:00.0004325","00:00:00.0000200","10","2,413793103448276"
"Stuff*>Null","00:00:00.0000632","3","7.1.4","Win","CoreCLR","4096","00:00:00.0006318","False","00:00:00.0003387","00:00:00.0000238","10","1,2589641434262948"
"Stuff*>Null","00:00:00.0000659","8","7.1.4","Win","CoreCLR","0","00:00:00.0006588","False","00:00:00.0003389","00:00:00.0000338","10","1,3757828810020878"
"Stuff>Null","00:00:00.0000662","8","7.1.4","Win","CoreCLR","4096","00:00:00.0006622","False","00:00:00.0003643","00:00:00.0000313","10","1,3820459290187892"
"Stuff*>Null","00:00:00.0000754","13","7.1.4","Win","CoreCLR","0","00:00:00.0007536","False","00:00:00.0003508","00:00:00.0000423","10","1,320490367775832"
"Stuff|OutNull","00:00:00.0000778","3","7.1.4","Win","CoreCLR","0","00:00:00.0007785","False","00:00:00.0003604","00:00:00.0000396","10","1,549800796812749"
"[Void]Stuff","00:00:00.0000826","21","7.1.4","Win","CoreCLR","0","00:00:00.0008264","False","00:00:00.0004830","00:00:00.0000328","10","1"
"Stuff>Null","00:00:00.0000896","3","7.1.4","Win","CoreCLR","0","00:00:00.0008960","False","00:00:00.0004987","00:00:00.0000394","10","1,7848605577689243"
"[Void]Stuff","00:00:00.0000972","13","7.1.4","Win","CoreCLR","0","00:00:00.0009724","False","00:00:00.0005972","00:00:00.0000346","10","1,702276707530648"
"Null=stuff","00:00:00.0000992","100","7.1.4","Win","CoreCLR","36864","00:00:00.0009918","False","00:00:00.0004652","00:00:00.0000386","10","1"
"Stuff|OutNull","00:00:00.0001005","8","7.1.4","Win","CoreCLR","0","00:00:00.0010052","False","00:00:00.0003668","00:00:00.0000686","10","2,0981210855949897"
"Stuff>Null","00:00:00.0001020","1","7.1.4","Win","CoreCLR","8192","00:00:00.0010198","False","00:00:00.0008916","00:00:00.0000122","10","3,9080459770114944"
"Null=stuff","00:00:00.0001069","21","7.1.4","Win","CoreCLR","0","00:00:00.0010691","False","00:00:00.0005502","00:00:00.0000296","10","1,2941888619854722"
"Stuff>Null","00:00:00.0001171","13","7.1.4","Win","CoreCLR","0","00:00:00.0011714","False","00:00:00.0005125","00:00:00.0000592","10","2,050788091068301"
"Stuff*>Null","00:00:00.0001234","21","7.1.4","Win","CoreCLR","8192","00:00:00.0012336","False","00:00:00.0005344","00:00:00.0000754","10","1,4939467312348669"
"[Void]Stuff","00:00:00.0001461","100","7.1.4","Win","CoreCLR","4096","00:00:00.0014614","False","00:00:00.0007050","00:00:00.0000377","10","1,4727822580645162"
"Stuff>Null","00:00:00.0001661","21","7.1.4","Win","CoreCLR","0","00:00:00.0016614","False","00:00:00.0005761","00:00:00.0000932","10","2,0108958837772395"
"Stuff|OutNull","00:00:00.0001940","13","7.1.4","Win","CoreCLR","12288","00:00:00.0019399","False","00:00:00.0006790","00:00:00.0001240","10","3,3975481611208407"
"Stuff>Null","00:00:00.0002174","100","7.1.4","Win","CoreCLR","0","00:00:00.0021741","False","00:00:00.0005744","00:00:00.0001145","10","2,191532258064516"
"Stuff|OutNull","00:00:00.0002628","21","7.1.4","Win","CoreCLR","0","00:00:00.0026282","False","00:00:00.0006288","00:00:00.0001564","10","3,181598062953995"
"Stuff*>Null","00:00:00.0002769","100","7.1.4","Win","CoreCLR","0","00:00:00.0027691","False","00:00:00.0008964","00:00:00.0001003","10","2,7913306451612905"
"Null=stuff","00:00:00.0003669","1000","7.1.4","Win","CoreCLR","4096","00:00:00.0036687","False","00:00:00.0012256","00:00:00.0002281","10","1"
"[Void]Stuff","00:00:00.0005459","1000","7.1.4","Win","CoreCLR","8192","00:00:00.0054590","False","00:00:00.0013528","00:00:00.0004166","10","1,487871354592532"
"Stuff*>Null","00:00:00.0010624","1000","7.1.4","Win","CoreCLR","2965504","00:00:00.0106245","False","00:00:00.0029362","00:00:00.0004793","10","2,895611883346961"
"Stuff|OutNull","00:00:00.0011060","100","7.1.4","Win","CoreCLR","53248","00:00:00.0110604","False","00:00:00.0020944","00:00:00.0008834","10","11,149193548387096"
