"Name","Time","TimesExec","PSVersion","OS","CLR","WorkSet","Max","Min","Total","Assert","Score"
"|SimpleFunction1","00:00:00.0003756","3","7.1.4","Mac","CoreCLR","0","00:00:00.0004322","00:00:00.0003434","00:00:00.0026295","True","1"
"|AnonymousFunc","00:00:00.0004562","13","7.1.4","Mac","CoreCLR","0","00:00:00.0004994","00:00:00.0003856","00:00:00.0031934","True","1"
"|AnonymousFunc","00:00:00.0004654","3","7.1.4","Mac","CoreCLR","0","00:00:00.0008733","00:00:00.0003048","00:00:00.0032581","True","1.239084132055378"
"|& SimpleMethod","00:00:00.0004802","3","7.1.4","Mac","CoreCLR","0","00:00:00.0005313","00:00:00.0004393","00:00:00.0033616","True","1.2784877529286476"
"|SimpleFunction2","00:00:00.0004943","3","7.1.4","Mac","CoreCLR","0","00:00:00.0006794","00:00:00.0004265","00:00:00.0034600","True","1.316027689030884"
"|AnonymousFunc","00:00:00.0005723","21","7.1.4","Mac","CoreCLR","49152","00:00:00.0006615","00:00:00.0005102","00:00:00.0040060","True","1"
"|AnonymousFunc","00:00:00.0005741","8","7.1.4","Mac","CoreCLR","4096","00:00:00.0014249","00:00:00.0003731","00:00:00.0040190","True","1"
"|SimpleFunction4","00:00:00.0006071","1","7.1.4","Mac","CoreCLR","0","00:00:00.0018308","00:00:00.0003495","00:00:00.0042497","True","1"
"|Foreach{}{}{}","00:00:00.0006110","3","7.1.4","Mac","CoreCLR","16384","00:00:00.0007469","00:00:00.0005332","00:00:00.0042770","True","1.626730564430245"
"|SimpleFunction4","00:00:00.0006227","3","7.1.4","Mac","CoreCLR","0","00:00:00.0010730","00:00:00.0004157","00:00:00.0043591","True","1.6578807241746538"
"|SimpleFunction4","00:00:00.0006981","8","7.1.4","Mac","CoreCLR","4096","00:00:00.0011028","00:00:00.0005698","00:00:00.0048866","True","1.2159902456018115"
"|& SimpleMethod","00:00:00.0007022","1","7.1.4","Mac","CoreCLR","57344","00:00:00.0023412","00:00:00.0003794","00:00:00.0049154","True","1.1566463515071652"
"|SimpleFunction3","00:00:00.0007051","1","7.1.4","Mac","CoreCLR","1372160","00:00:00.0020272","00:00:00.0004242","00:00:00.0049354","True","1.1614231592818316"
"|SimpleFunction4","00:00:00.0007399","13","7.1.4","Mac","CoreCLR","0","00:00:00.0011139","00:00:00.0005909","00:00:00.0051792","True","1.6218763700131522"
"|SimpleFunction3","00:00:00.0008081","3","7.1.4","Mac","CoreCLR","0","00:00:00.0014232","00:00:00.0003028","00:00:00.0056564","True","2.1514909478168263"
"|AnonymousFunc","00:00:00.0008280","1","7.1.4","Mac","CoreCLR","0","00:00:00.0039324","00:00:00.0002789","00:00:00.0057961","True","1.3638609784220062"
"|Foreach{}{}{}","00:00:00.0008581","8","7.1.4","Mac","CoreCLR","4096","00:00:00.0012074","00:00:00.0006526","00:00:00.0060064","True","1.4946873367009232"
"|SimpleFunction3","00:00:00.0008729","13","7.1.4","Mac","CoreCLR","0","00:00:00.0020311","00:00:00.0005771","00:00:00.0061106","True","1.9134151687856202"
"|SimpleFunction2","00:00:00.0009221","8","7.1.4","Mac","CoreCLR","4096","00:00:00.0012766","00:00:00.0006382","00:00:00.0064548","True","1.6061661731405679"
"|Foreach{}{}{}","00:00:00.0009320","1","7.1.4","Mac","CoreCLR","4096","00:00:00.0032358","00:00:00.0004372","00:00:00.0065241","True","1.5351671882721134"
"|SimpleFunction2","00:00:00.0009536","13","7.1.4","Mac","CoreCLR","0","00:00:00.0029052","00:00:00.0005622","00:00:00.0066751","True","2.090311266988163"
"|SimpleFunction1","00:00:00.0009682","8","7.1.4","Mac","CoreCLR","581632","00:00:00.0045164","00:00:00.0003408","00:00:00.0067772","True","1.6864657725134995"
"|SimpleFunction1","00:00:00.0010104","21","7.1.4","Mac","CoreCLR","0","00:00:00.0024506","00:00:00.0005369","00:00:00.0070725","True","1.7655076009086144"
"|Foreach","00:00:00.0010209","8","7.1.4","Mac","CoreCLR","4096","00:00:00.0031875","00:00:00.0005474","00:00:00.0071460","True","1.7782616268942693"
"|Foreach","00:00:00.0010273","3","7.1.4","Mac","CoreCLR","16384","00:00:00.0022465","00:00:00.0005822","00:00:00.0071912","True","2.735090521831736"
"|SimpleFunction4","00:00:00.0010596","21","7.1.4","Mac","CoreCLR","16384","00:00:00.0019235","00:00:00.0008734","00:00:00.0074169","True","1.8514764983400314"
"|SimpleFunction3","00:00:00.0010867","8","7.1.4","Mac","CoreCLR","0","00:00:00.0020450","00:00:00.0006158","00:00:00.0076066","True","1.8928758056087789"
"|Foreach","00:00:00.0012237","13","7.1.4","Mac","CoreCLR","0","00:00:00.0037844","00:00:00.0007678","00:00:00.0085658","True","2.6823761508110477"
"|& SimpleMethod","00:00:00.0012704","8","7.1.4","Mac","CoreCLR","0","00:00:00.0027274","00:00:00.0006196","00:00:00.0088926","True","2.2128549033269467"
"|SimpleFunction3","00:00:00.0013995","21","7.1.4","Mac","CoreCLR","40960","00:00:00.0044840","00:00:00.0007780","00:00:00.0097968","True","2.445395771448541"
"|& SimpleMethod","00:00:00.0015935","13","7.1.4","Mac","CoreCLR","24576","00:00:00.0060384","00:00:00.0006954","00:00:00.0111544","True","3.4929855326611134"
"|Foreach{}{}{}","00:00:00.0015969","13","7.1.4","Mac","CoreCLR","0","00:00:00.0046958","00:00:00.0008930","00:00:00.0111781","True","3.5004384042086802"
"|Foreach","00:00:00.0016418","21","7.1.4","Mac","CoreCLR","16384","00:00:00.0047349","00:00:00.0009646","00:00:00.0114927","True","2.8687751179451335"
