"Name","Time","TimesExec","PSVersion","OS","CLR","WorkSet","Total","Assert","Max","Min","Samples","Score"
"|AnonymousFunc","00:00:00.0000872","3","7.1.4","Win","CoreCLR","0","00:00:00.0006101","True","00:00:00.0001314","00:00:00.0000738","7","1"
"|SimpleFunction1","00:00:00.0000971","3","7.1.4","Win","CoreCLR","0","00:00:00.0006796","True","00:00:00.0001426","00:00:00.0000874","7","1,113532110091743"
"|SimpleFunction4","00:00:00.0001348","3","7.1.4","Win","CoreCLR","0","00:00:00.0009439","True","00:00:00.0001661","00:00:00.0001180","7","1,5458715596330275"
"|AnonymousFunc","00:00:00.0001672","13","7.1.4","Win","CoreCLR","0","00:00:00.0011702","True","00:00:00.0002098","00:00:00.0001527","7","1"
"|SimpleFunction2","00:00:00.0001699","3","7.1.4","Win","CoreCLR","0","00:00:00.0011891","True","00:00:00.0002437","00:00:00.0001181","7","1,948394495412844"
"|Foreach{}{}{}","00:00:00.0001720","3","7.1.4","Win","CoreCLR","0","00:00:00.0012039","True","00:00:00.0002658","00:00:00.0001371","7","1,9724770642201834"
"|AnonymousFunc","00:00:00.0001757","8","7.1.4","Win","CoreCLR","0","00:00:00.0012299","True","00:00:00.0002486","00:00:00.0000880","7","1"
"|SimpleFunction3","00:00:00.0001919","13","7.1.4","Win","CoreCLR","0","00:00:00.0013430","True","00:00:00.0002828","00:00:00.0001631","7","1,1477272727272727"
"|Foreach","00:00:00.0001981","3","7.1.4","Win","CoreCLR","36864","00:00:00.0013868","True","00:00:00.0003062","00:00:00.0001372","7","2,271788990825688"
"|& SimpleMethod","00:00:00.0002007","3","7.1.4","Win","CoreCLR","0","00:00:00.0014052","True","00:00:00.0002778","00:00:00.0001681","7","2,301605504587156"
"|SimpleFunction3","00:00:00.0002189","3","7.1.4","Win","CoreCLR","0","00:00:00.0015320","True","00:00:00.0002685","00:00:00.0001919","7","2,510321100917431"
