"Name","Time","TimesExec","PSVersion","OS","CLR","WorkSet","Max","Min","Total","Assert","Score"
"Foreach(){}","00:00:00.0001102","8","7.1.4","Mac","CoreCLR","0","00:00:00.0001485","00:00:00.0000944","00:00:00.0007712","True","1"
"Do{}Until()","00:00:00.0001131","3","7.1.4","Mac","CoreCLR","0","00:00:00.0001445","00:00:00.0000975","00:00:00.0007915","True","1"
"For(){}","00:00:00.0001145","3","7.1.4","Mac","CoreCLR","4096","00:00:00.0001613","00:00:00.0000886","00:00:00.0008015","True","1.0123784261715296"
"While(){}","00:00:00.0001191","3","7.1.4","Mac","CoreCLR","40960","00:00:00.0001494","00:00:00.0000773","00:00:00.0008337","True","1.0530503978779842"
"Do{}While()","00:00:00.0001197","3","7.1.4","Mac","CoreCLR","0","00:00:00.0001319","00:00:00.0001005","00:00:00.0008380","True","1.0583554376657824"
"While(){}","00:00:00.0001197","8","7.1.4","Mac","CoreCLR","0","00:00:00.0001298","00:00:00.0001083","00:00:00.0008379","True","1.0862068965517242"
"Do{}While()","00:00:00.0001222","8","7.1.4","Mac","CoreCLR","0","00:00:00.0001528","00:00:00.0001021","00:00:00.0008553","True","1.1088929219600725"
"Foreach(){}","00:00:00.0001224","13","7.1.4","Mac","CoreCLR","1839104","00:00:00.0001553","00:00:00.0001003","00:00:00.0008570","True","1"
"Foreach(){}","00:00:00.0001314","3","7.1.4","Mac","CoreCLR","8192","00:00:00.0001693","00:00:00.0001099","00:00:00.0009195","True","1.1618037135278514"
".Where({})","00:00:00.0001338","3","7.1.4","Mac","CoreCLR","12288","00:00:00.0001628","00:00:00.0001195","00:00:00.0009363","True","1.1830238726790452"
"Do{}Until()","00:00:00.0001401","8","7.1.4","Mac","CoreCLR","20480","00:00:00.0001965","00:00:00.0001075","00:00:00.0009805","True","1.2713248638838475"
"Do{}Until()","00:00:00.0001440","13","7.1.4","Mac","CoreCLR","0","00:00:00.0001857","00:00:00.0001238","00:00:00.0010077","True","1.1764705882352942"
".Where({})","00:00:00.0001467","3","7.1.4","Mac","CoreCLR","49152","00:00:00.0001815","00:00:00.0001163","00:00:00.0010272","True","1.297082228116711"
".Foreach({})","00:00:00.0001515","13","7.1.4","Mac","CoreCLR","0","00:00:00.0001827","00:00:00.0001282","00:00:00.0010607","True","1.2377450980392157"
".Where({})","00:00:00.0001602","13","7.1.4","Mac","CoreCLR","0","00:00:00.0002062","00:00:00.0001485","00:00:00.0011212","True","1.3088235294117647"
