"Name","Time","TimesExec","PSVersion","OS","CLR","WorkSet","Total","Assert","Max","Min","Samples","Score"
"Do{}While()","00:00:00.0000522","3","7.1.4","Win","CoreCLR","45056","00:00:00.0003652","True","00:00:00.0000630","00:00:00.0000356","7","1"
".Where({})","00:00:00.0000557","3","7.1.4","Win","CoreCLR","0","00:00:00.0003899","True","00:00:00.0000844","00:00:00.0000472","7","1,0670498084291187"
"Do{}Until()","00:00:00.0000598","3","7.1.4","Win","CoreCLR","4096","00:00:00.0004185","True","00:00:00.0000892","00:00:00.0000492","7","1,1455938697318007"
"Foreach(){}","00:00:00.0000622","3","7.1.4","Win","CoreCLR","0","00:00:00.0004352","True","00:00:00.0001105","00:00:00.0000471","7","1,1915708812260537"
".Foreach({})","00:00:00.0000646","3","7.1.4","Win","CoreCLR","0","00:00:00.0004520","True","00:00:00.0000917","00:00:00.0000578","7","1,2375478927203065"
"While(){}","00:00:00.0000647","3","7.1.4","Win","CoreCLR","49152","00:00:00.0004531","True","00:00:00.0001120","00:00:00.0000496","7","1,239463601532567"
"Foreach(){}","00:00:00.0000657","21","7.1.4","Win","CoreCLR","0","00:00:00.0004597","True","00:00:00.0000871","00:00:00.0000431","7","1"
"Do{}Until()","00:00:00.0000693","8","7.1.4","Win","CoreCLR","0","00:00:00.0004850","True","00:00:00.0001228","00:00:00.0000576","7","1"
"Do{}While()","00:00:00.0000734","8","7.1.4","Win","CoreCLR","0","00:00:00.0005135","True","00:00:00.0001108","00:00:00.0000582","7","1,0591630591630592"
".Foreach({})","00:00:00.0000754","8","7.1.4","Win","CoreCLR","12288","00:00:00.0005278","True","00:00:00.0001130","00:00:00.0000616","7","1,0880230880230881"
"While(){}","00:00:00.0000789","13","7.1.4","Win","CoreCLR","57344","00:00:00.0005525","True","00:00:00.0001098","00:00:00.0000652","7","1"
"For(){}","00:00:00.0000811","13","7.1.4","Win","CoreCLR","221184","00:00:00.0005674","True","00:00:00.0001235","00:00:00.0000685","7","1,0278833967046894"
"For(){}","00:00:00.0000828","3","7.1.4","Win","CoreCLR","40960","00:00:00.0005799","True","00:00:00.0001297","00:00:00.0000657","7","1,5862068965517242"
".Where({})","00:00:00.0000851","3","7.1.4","Win","CoreCLR","0","00:00:00.0005957","True","00:00:00.0001184","00:00:00.0000763","7","1,6302681992337165"
"Foreach(){}","00:00:00.0000885","8","7.1.4","Win","CoreCLR","8192","00:00:00.0006198","True","00:00:00.0001325","00:00:00.0000695","7","1,277056277056277"
".Where({})","00:00:00.0000912","1","7.1.4","Win","CoreCLR","0","00:00:00.0006385","True","00:00:00.0004829","00:00:00.0000239","7","1"
"For(){}","00:00:00.0000938","21","7.1.4","Win","CoreCLR","0","00:00:00.0006567","True","00:00:00.0001614","00:00:00.0000549","7","1,4277016742770168"
