"Name","TotalScore","LowVolume","HighVolume","Assert"
"|AnonymusPipe","11.7342","20.2960","1.0319","True"
"Do{}Until()","13.4240","17.9391","7.7800","True"
"|Foreach-Obj{}","23.1059","28.7569","16.0422","True"
"For(){}","4.5696","1.3868","8.5481","True"
"While(){}","4.7947","6.7913","2.2990","True"
"Foreach(){}","5.9561","6.4962","5.2809","True"
"|Where-Obj{}","50.9773","72.9454","23.5171","True"
".Where({})","6.7775","9.1352","3.8304","True"
".Foreach({})","9.5611","15.1527","2.5717","True"
"Do{}While()","9.7280","15.9252","1.9816","True"
