"Name","TotalScore","LowVolume","HighVolume","Assert"
"Foreach(){}","1.2197","1.3102","1.1066","True"
"|AnonymusPipe","1.5828","1.9015","1.1845","True"
"Do{}While()","1.6689","1.3877","2.0204","True"
"While(){}","1.7170","1.4046","2.1076","True"
"Do{}Until()","1.7968","1.5985","2.0447","True"
"For(){}","1.9337","1.6454","2.2939","True"
".Where({})","1.9477","1.6935","2.2655","True"
".Foreach({})","2.5391","2.8831","2.1090","True"
"|Foreach-Obj{}","5.4358","4.4737","6.6385","True"
"|Where-Obj{}","8.1012","6.5458","10.0454","True"
