"Name","Time","TimesExec","PSVersion","OS","CLR","WorkSet","Total","Assert","Max","Min","Samples","Score"
"Foreach(){}Shorter","00:00:00.0001825","8","7.1.4","Mac","CoreCLR","4096","00:00:00.0012777","True","00:00:00.0002352","00:00:00.0001563","7","1"
"For(){}SHORTER","00:00:00.0001861","3","7.1.4","Mac","CoreCLR","4096","00:00:00.0013025","True","00:00:00.0002331","00:00:00.0001600","7","1"
"For(){}2x","00:00:00.0001951","8","7.1.4","Mac","CoreCLR","20480","00:00:00.0013656","True","00:00:00.0002507","00:00:00.0001596","7","1.0690410958904109"
"Do{}While()2x","00:00:00.0002046","3","7.1.4","Mac","CoreCLR","98304","00:00:00.0014320","True","00:00:00.0002525","00:00:00.0001693","7","1.0994089199355186"
"Foreach(){}Shorter","00:00:00.0002055","3","7.1.4","Mac","CoreCLR","0","00:00:00.0014387","True","00:00:00.0003399","00:00:00.0001598","7","1.1042450295540032"
"For(){}2x","00:00:00.0002066","3","7.1.4","Mac","CoreCLR","118784","00:00:00.0014460","True","00:00:00.0003424","00:00:00.0001648","7","1.110155830198818"
".Foreach({})2x","00:00:00.0002141","3","7.1.4","Mac","CoreCLR","0","00:00:00.0014990","True","00:00:00.0002575","00:00:00.0001849","7","1.1504567436861903"
"While(){}2x","00:00:00.0002143","3","7.1.4","Mac","CoreCLR","0","00:00:00.0015002","True","00:00:00.0002716","00:00:00.0001901","7","1.15153143471252"
"While(){}2x","00:00:00.0002172","8","7.1.4","Mac","CoreCLR","0","00:00:00.0015205","True","00:00:00.0003154","00:00:00.0001789","7","1.1901369863013698"
"Do{}While()2x","00:00:00.0002302","13","7.1.4","Mac","CoreCLR","0","00:00:00.0016113","True","00:00:00.0002737","00:00:00.0002161","7","1"
"Do{}Until()2x","00:00:00.0002311","13","7.1.4","Mac","CoreCLR","8192","00:00:00.0016178","True","00:00:00.0002883","00:00:00.0002098","7","1.0039096437880104"
"Foreach(){}2x","00:00:00.0002327","8","7.1.4","Mac","CoreCLR","4096","00:00:00.0016291","True","00:00:00.0006480","00:00:00.0001435","7","1.2750684931506848"
"Do{}Until()2x","00:00:00.0002389","8","7.1.4","Mac","CoreCLR","-122880","00:00:00.0016724","True","00:00:00.0005839","00:00:00.0001584","7","1.309041095890411"
"Foreach(){}2x","00:00:00.0002553","3","7.1.4","Mac","CoreCLR","8192","00:00:00.0017872","True","00:00:00.0006316","00:00:00.0001628","7","1.371843095110156"
".Where{})2x","00:00:00.0002578","3","7.1.4","Mac","CoreCLR","0","00:00:00.0018043","True","00:00:00.0005039","00:00:00.0001595","7","1.3852767329392799"
"Foreach(){}2x","00:00:00.0002612","13","7.1.4","Mac","CoreCLR","4096","00:00:00.0018281","True","00:00:00.0005019","00:00:00.0001967","7","1.1346655082536925"
"Do{}While()2x","00:00:00.0002612","8","7.1.4","Mac","CoreCLR","0","00:00:00.0018284","True","00:00:00.0003818","00:00:00.0001729","7","1.4312328767123288"
"Foreach(){}2x","00:00:00.0002730","21","7.1.4","Mac","CoreCLR","28672","00:00:00.0019108","True","00:00:00.0002976","00:00:00.0002402","7","1"
"For(){}SHORTER","00:00:00.0003030","21","7.1.4","Mac","CoreCLR","0","00:00:00.0021211","True","00:00:00.0003598","00:00:00.0002605","7","1.10989010989011"
