"Name","Time","TimesExec","PSVersion","OS","CLR","WorkSet","Total","Assert","Max","Min","Samples","Score"
"Hash.ContainsKey()","00:00:00.0001317","8","7.1.4","Mac","CoreCLR","0","00:00:00.0006584","True","00:00:00.0001728","00:00:00.0001149","5","1"
"Hash.GetEnum","00:00:00.0001317","3","7.1.4","Mac","CoreCLR","12288","00:00:00.0006586","True","00:00:00.0001637","00:00:00.0001151","5","1"
"Hash.GetEnum","00:00:00.0001339","8","7.1.4","Mac","CoreCLR","0","00:00:00.0006697","True","00:00:00.0001709","00:00:00.0001091","5","1.0167046317388002"
"Hash[Key]","00:00:00.0001463","13","7.1.4","Mac","CoreCLR","40960","00:00:00.0007314","True","00:00:00.0001712","00:00:00.0001355","5","1"
"Hash.Key","00:00:00.0001499","3","7.1.4","Mac","CoreCLR","0","00:00:00.0007497","True","00:00:00.0001670","00:00:00.0001296","5","1.1381928625664388"
"Hash.Key","00:00:00.0001511","13","7.1.4","Mac","CoreCLR","0","00:00:00.0007555","True","00:00:00.0001738","00:00:00.0001291","5","1.0328092959671906"
"Hash[Key]","00:00:00.0001585","8","7.1.4","Mac","CoreCLR","49152","00:00:00.0007923","True","00:00:00.0002125","00:00:00.0001300","5","1.2034927866362946"
"Hash.Key","00:00:00.0001606","8","7.1.4","Mac","CoreCLR","0","00:00:00.0008031","True","00:00:00.0002242","00:00:00.0001318","5","1.2194381169324222"
"Hash.ContainsKey()","00:00:00.0001632","3","7.1.4","Mac","CoreCLR","20480","00:00:00.0008160","True","00:00:00.0001870","00:00:00.0001477","5","1.2391799544419135"
"Hash.GetEnum","00:00:00.0001646","13","7.1.4","Mac","CoreCLR","40960","00:00:00.0008231","True","00:00:00.0002149","00:00:00.0001256","5","1.1250854408749145"
"Hash.ContainsKey()","00:00:00.0001839","21","7.1.4","Mac","CoreCLR","12288","00:00:00.0009193","True","00:00:00.0001983","00:00:00.0001695","5","1"
"Hash[Key]","00:00:00.0001912","21","7.1.4","Mac","CoreCLR","0","00:00:00.0009560","True","00:00:00.0002038","00:00:00.0001803","5","1.039695486677542"
"Hash.Key","00:00:00.0002897","21","7.1.4","Mac","CoreCLR","0","00:00:00.0014485","True","00:00:00.0005902","00:00:00.0002001","5","1.5753126699293094"
"Hash.Key","00:00:00.0005316","100","7.1.4","Mac","CoreCLR","0","00:00:00.0026578","True","00:00:00.0006764","00:00:00.0004609","5","1"
