"Name","Time","TimesExec","PSVersion","OS","CLR","WorkSet","Total","Assert","Max","Min","Samples","Score"
"Hash.Key","00:00:00.0000396","13","7.1.4","Win","CoreCLR","0","00:00:00.0001982","True","00:00:00.0000641","00:00:00.0000326","5","1"
"Hash[Key]","00:00:00.0000511","8","7.1.4","Win","CoreCLR","0","00:00:00.0002555","True","00:00:00.0000930","00:00:00.0000401","5","1"
"Hash.GetEnum","00:00:00.0000512","8","7.1.4","Win","CoreCLR","0","00:00:00.0002561","True","00:00:00.0001005","00:00:00.0000357","5","1,0019569471624266"
"Hash[Key]","00:00:00.0000531","3","7.1.4","Win","CoreCLR","0","00:00:00.0002656","True","00:00:00.0000844","00:00:00.0000398","5","1"
"Hash.ContainsKey()","00:00:00.0000572","8","7.1.4","Win","CoreCLR","0","00:00:00.0002859","True","00:00:00.0000977","00:00:00.0000455","5","1,1193737769080234"
"Hash.ContainsKey()","00:00:00.0000592","3","7.1.4","Win","CoreCLR","0","00:00:00.0002962","True","00:00:00.0000943","00:00:00.0000468","5","1,1148775894538607"
"Hash.GetEnum","00:00:00.0000594","3","7.1.4","Win","CoreCLR","4096","00:00:00.0002970","True","00:00:00.0001095","00:00:00.0000433","5","1,11864406779661"
"Hash.Key","00:00:00.0000630","3","7.1.4","Win","CoreCLR","0","00:00:00.0003151","True","00:00:00.0001062","00:00:00.0000474","5","1,1864406779661016"
"Hash[Key]","00:00:00.0000658","13","7.1.4","Win","CoreCLR","0","00:00:00.0003290","True","00:00:00.0000983","00:00:00.0000528","5","1,6616161616161615"
"Hash.GetEnum","00:00:00.0000696","21","7.1.4","Win","CoreCLR","0","00:00:00.0003479","True","00:00:00.0001063","00:00:00.0000553","5","1"
"Hash.Key","00:00:00.0000696","8","7.1.4","Win","CoreCLR","0","00:00:00.0003480","True","00:00:00.0001464","00:00:00.0000483","5","1,3620352250489236"
"Hash.ContainsKey()","00:00:00.0000794","21","7.1.4","Win","CoreCLR","0","00:00:00.0003972","True","00:00:00.0001074","00:00:00.0000701","5","1,1408045977011494"
"Hash[Key]","00:00:00.0000794","21","7.1.4","Win","CoreCLR","0","00:00:00.0003970","True","00:00:00.0001158","00:00:00.0000684","5","1,1408045977011494"
"Hash.GetEnum","00:00:00.0000952","13","7.1.4","Win","CoreCLR","0","00:00:00.0004759","True","00:00:00.0001436","00:00:00.0000473","5","2,404040404040404"
"Hash.ContainsKey()","00:00:00.0000993","13","7.1.4","Win","CoreCLR","0","00:00:00.0004965","True","00:00:00.0001225","00:00:00.0000658","5","2,507575757575758"
"Hash.Key","00:00:00.0001362","21","7.1.4","Win","CoreCLR","0","00:00:00.0006810","True","00:00:00.0001675","00:00:00.0001246","5","1,956896551724138"
"Hash[Key]","00:00:00.0002193","100","7.1.4","Win","CoreCLR","0","00:00:00.0010965","True","00:00:00.0002480","00:00:00.0002071","5","1"
"Hash.Key","00:00:00.0002321","100","7.1.4","Win","CoreCLR","0","00:00:00.0011607","True","00:00:00.0002702","00:00:00.0002209","5","1,0583675330597355"
"Hash.ContainsKey()","00:00:00.0002394","100","7.1.4","Win","CoreCLR","0","00:00:00.0011968","True","00:00:00.0002571","00:00:00.0002169","5","1,0916552667578658"
"Hash.GetEnum","00:00:00.0003782","100","7.1.4","Win","CoreCLR","0","00:00:00.0018912","True","00:00:00.0004348","00:00:00.0002070","5","1,724578203374373"
"Hash.ContainsKey()","00:00:00.0004915","1","7.1.4","Win","CoreCLR","16384","00:00:00.0024577","True","00:00:00.0022576","00:00:00.0000346","5","1"
"Hash[Key]","00:00:00.0005298","1","7.1.4","Win","CoreCLR","8192","00:00:00.0026488","True","00:00:00.0024598","00:00:00.0000377","5","1,0779247202441506"
"Hash.GetEnum","00:00:00.0008730","1","7.1.4","Win","CoreCLR","8192","00:00:00.0043648","True","00:00:00.0041587","00:00:00.0000420","5","1,7761953204476093"
"Hash.Key","00:00:00.0011307","1","7.1.4","Win","CoreCLR","315392","00:00:00.0056537","True","00:00:00.0054410","00:00:00.0000417","5","2,3005086469989826"
"Hash.Key","00:00:00.0015904","1000","7.1.4","Win","CoreCLR","16384","00:00:00.0079520","True","00:00:00.0020079","00:00:00.0012199","5","1"
"Hash.GetEnum","00:00:00.0019257","1000","7.1.4","Win","CoreCLR","45056","00:00:00.0096283","True","00:00:00.0024738","00:00:00.0016789","5","1,2108274647887325"
"Hash[Key]","00:00:00.0021678","1000","7.1.4","Win","CoreCLR","4096","00:00:00.0108392","True","00:00:00.0035705","00:00:00.0015621","5","1,3630533199195172"
"Hash.ContainsKey()","00:00:00.0025329","1000","7.1.4","Win","CoreCLR","4096","00:00:00.0126644","True","00:00:00.0043429","00:00:00.0014618","5","1,5926182092555332"
"Hash.GetEnum","00:00:00.0158488","10000","7.1.4","Win","CoreCLR","6205440","00:00:00.0792442","True","00:00:00.0236370","00:00:00.0125638","5","1"
"Hash.Key","00:00:00.0196959","10000","7.1.4","Win","CoreCLR","-2396160","00:00:00.0984796","True","00:00:00.0210103","00:00:00.0177482","5","1,2427376205138558"
"Hash[Key]","00:00:00.0237114","10000","7.1.4","Win","CoreCLR","6340608","00:00:00.1185572","True","00:00:00.0283732","00:00:00.0178291","5","1,4961006511533996"
"Hash.ContainsKey()","00:00:00.0254199","10000","7.1.4","Win","CoreCLR","-3452928","00:00:00.1270996","True","00:00:00.0308774","00:00:00.0204613","5","1,6039006107717935"
"Hash.Key","00:00:00.1946991","100000","7.1.4","Win","CoreCLR","-14282752","00:00:00.9734957","True","00:00:00.2251470","00:00:00.1702895","5","1"
"Hash[Key]","00:00:00.2107891","100000","7.1.4","Win","CoreCLR","7008256","00:00:01.0539457","True","00:00:00.2286973","00:00:00.1914427","5","1,082640340915803"
"Hash.ContainsKey()","00:00:00.2475771","100000","7.1.4","Win","CoreCLR","1687552","00:00:01.2378854","True","00:00:00.2620793","00:00:00.2406682","5","1,2715883124267138"
"Hash.GetEnum","00:00:00.2934772","100000","7.1.4","Win","CoreCLR","11649024","00:00:01.4673858","True","00:00:00.3261022","00:00:00.2705426","5","1,5073372193297248"
