"Name","Time","TimesExec","PSVersion","OS","CLR","WorkSet","Total","Assert","Max","Min","Samples","Score"
"QuickInstanceNEW","00:00:00.0001216","1","7.1.4","Mac","CoreCLR","4096","00:00:00.0012163","True","00:00:00.0007082","00:00:00.0000440","10","1"
"QuickInstance","00:00:00.0002308","13","7.1.4","Mac","CoreCLR","0","00:00:00.0023080","True","00:00:00.0010955","00:00:00.0001002","10","1"
"ArrayList","00:00:00.0002398","21","7.1.4","Mac","CoreCLR","28672","00:00:00.0023982","True","00:00:00.0009464","00:00:00.0001209","10","1"
"QuickInstanceNEW","00:00:00.0002408","13","7.1.4","Mac","CoreCLR","12288","00:00:00.0024082","True","00:00:00.0011686","00:00:00.0001093","10","1.0433275563258233"
"ArrayList","00:00:00.0002457","13","7.1.4","Mac","CoreCLR","0","00:00:00.0024571","True","00:00:00.0012192","00:00:00.0001211","10","1.0645580589254766"
"ArrayList","00:00:00.0002651","8","7.1.4","Mac","CoreCLR","20480","00:00:00.0026511","True","00:00:00.0011331","00:00:00.0000963","10","1"
"QuickInstance","00:00:00.0003854","3","7.1.4","Mac","CoreCLR","36864","00:00:00.0038538","True","00:00:00.0025415","00:00:00.0000926","10","1"
"ArrayList","00:00:00.0003911","100","7.1.4","Mac","CoreCLR","69632","00:00:00.0039108","True","00:00:00.0012347","00:00:00.0001929","10","1"
"QuickInstanceNEW","00:00:00.0005820","100","7.1.4","Mac","CoreCLR","12288","00:00:00.0058203","True","00:00:00.0027685","00:00:00.0001646","10","1.488110457683457"
"NewObject","00:00:00.0012937","3","7.1.4","Mac","CoreCLR","131072","00:00:00.0129373","True","00:00:00.0027318","00:00:00.0008599","10","3.356772184743124"
"QuickInstance","00:00:00.0018645","1","7.1.4","Mac","CoreCLR","4096","00:00:00.0186451","True","00:00:00.0179237","00:00:00.0000660","10","15.333059210526315"
"QuickInstance","00:00:00.0034232","8","7.1.4","Mac","CoreCLR","24576","00:00:00.0342320","True","00:00:00.0303141","00:00:00.0001199","10","12.91286307053942"
"NewObject","00:00:00.0037593","1","7.1.4","Mac","CoreCLR","61440","00:00:00.0375931","True","00:00:00.0304659","00:00:00.0003612","10","30.91529605263158"
