"Name","Time","TimesExec","PSVersion","OS","CLR","WorkSet","Total","Assert","Max","Min","Samples","Score"
"QuickInstanceNEW","00:00:00.0000560","1","7.1.4","Win","CoreCLR","0","00:00:00.0005600","False","00:00:00.0004093","00:00:00.0000128","10","1"
"ArrayList","00:00:00.0000716","3","7.1.4","Win","CoreCLR","4096","00:00:00.0007161","False","00:00:00.0003633","00:00:00.0000172","10","1"
"QuickInstance","00:00:00.0000770","8","7.1.4","Win","CoreCLR","0","00:00:00.0007695","False","00:00:00.0004664","00:00:00.0000304","10","1"
"ArrayList","00:00:00.0000828","8","7.1.4","Win","CoreCLR","0","00:00:00.0008282","False","00:00:00.0004968","00:00:00.0000312","10","1,0753246753246752"
"QuickInstance","00:00:00.0000880","3","7.1.4","Win","CoreCLR","4096","00:00:00.0008797","False","00:00:00.0005941","00:00:00.0000243","10","1,229050279329609"
"QuickInstanceNEW","00:00:00.0000930","3","7.1.4","Win","CoreCLR","0","00:00:00.0009303","False","00:00:00.0005154","00:00:00.0000271","10","1,2988826815642458"
"QuickInstanceNEW","00:00:00.0001064","13","7.1.4","Win","CoreCLR","0","00:00:00.0010641","False","00:00:00.0006408","00:00:00.0000385","10","1"
"ArrayList","00:00:00.0001136","13","7.1.4","Win","CoreCLR","0","00:00:00.0011361","False","00:00:00.0006464","00:00:00.0000463","10","1,0676691729323309"
"QuickInstanceNEW","00:00:00.0001185","21","7.1.4","Win","CoreCLR","28672","00:00:00.0011854","False","00:00:00.0007826","00:00:00.0000395","10","1"
"QuickInstanceNEW","00:00:00.0001196","8","7.1.4","Win","CoreCLR","4096","00:00:00.0011956","False","00:00:00.0007450","00:00:00.0000414","10","1,5532467532467533"
"QuickInstance","00:00:00.0001235","21","7.1.4","Win","CoreCLR","147456","00:00:00.0012350","False","00:00:00.0006954","00:00:00.0000490","10","1,0421940928270041"
"QuickInstance","00:00:00.0001244","13","7.1.4","Win","CoreCLR","0","00:00:00.0012439","False","00:00:00.0007372","00:00:00.0000514","10","1,169172932330827"
"ArrayList","00:00:00.0001406","21","7.1.4","Win","CoreCLR","4096","00:00:00.0014056","False","00:00:00.0008131","00:00:00.0000497","10","1,1864978902953587"
