"Name","Time","TimesExec","PSVersion","OS","CLR","WorkSet","Total","Assert","Max","Min","Samples","Score"
"QuickInstance","00:00:00.0001710","1","7.1.4","Mac","CoreCLR","0","00:00:00.0011967","True","00:00:00.0007568","00:00:00.0000625","7","1"
"DictStrIntNEW","00:00:00.0002582","13","7.1.4","Mac","CoreCLR","4096","00:00:00.0018075","True","00:00:00.0008728","00:00:00.0001315","7","1"
"HashNEW","00:00:00.0002645","8","7.1.4","Mac","CoreCLR","16384","00:00:00.0018512","True","00:00:00.0010120","00:00:00.0001289","7","1"
"HashNEW","00:00:00.0002713","13","7.1.4","Mac","CoreCLR","0","00:00:00.0018994","True","00:00:00.0010716","00:00:00.0001192","7","1.0507358636715725"
"DictStrStrNEW","00:00:00.0002804","3","7.1.4","Mac","CoreCLR","49152","00:00:00.0019627","True","00:00:00.0011336","00:00:00.0001097","7","1"
"QuickInstance","00:00:00.0002824","8","7.1.4","Mac","CoreCLR","4096","00:00:00.0019767","True","00:00:00.0011140","00:00:00.0001264","7","1.0676748582230624"
"DictStrStrNEW","00:00:00.0002837","8","7.1.4","Mac","CoreCLR","12288","00:00:00.0019862","True","00:00:00.0011384","00:00:00.0001255","7","1.0725897920604914"
"QuickInstance","00:00:00.0003057","13","7.1.4","Mac","CoreCLR","8192","00:00:00.0021396","True","00:00:00.0010937","00:00:00.0001510","7","1.1839659178931061"
"HashNEW","00:00:00.0003123","21","7.1.4","Mac","CoreCLR","0","00:00:00.0021858","True","00:00:00.0011468","00:00:00.0001527","7","1"
"hashTableNEW","00:00:00.0003133","3","7.1.4","Mac","CoreCLR","36864","00:00:00.0021933","True","00:00:00.0014568","00:00:00.0001073","7","1.1173323823109844"
"DictStrIntNEW","00:00:00.0003144","3","7.1.4","Mac","CoreCLR","16384","00:00:00.0022008","True","00:00:00.0014583","00:00:00.0001095","7","1.1212553495007134"
"hashTableNEW","00:00:00.0003256","21","7.1.4","Mac","CoreCLR","-9650176","00:00:00.0022789","True","00:00:00.0011405","00:00:00.0001711","7","1.04258725584374"
"HashNEW","00:00:00.0003374","3","7.1.4","Mac","CoreCLR","20480","00:00:00.0023618","True","00:00:00.0018021","00:00:00.0000857","7","1.203281027104137"
"HashNEW","00:00:00.0003683","1","7.1.4","Mac","CoreCLR","24576","00:00:00.0025780","True","00:00:00.0020678","00:00:00.0000626","7","2.1538011695906434"
"hashTableNEW","00:00:00.0003766","13","7.1.4","Mac","CoreCLR","0","00:00:00.0026361","True","00:00:00.0016774","00:00:00.0001212","7","1.458559256390395"
"hashTableNEW","00:00:00.0004396","8","7.1.4","Mac","CoreCLR","0","00:00:00.0030775","True","00:00:00.0012632","00:00:00.0001532","7","1.6620037807183365"
"DictStrStrNEW","00:00:00.0004459","1","7.1.4","Mac","CoreCLR","0","00:00:00.0031212","True","00:00:00.0026778","00:00:00.0000586","7","2.6076023391812866"
"DictStrStrNEW","00:00:00.0005337","100","7.1.4","Mac","CoreCLR","0","00:00:00.0037357","True","00:00:00.0010707","00:00:00.0004278","7","1"
"DictStrIntNEW","00:00:00.0005654","100","7.1.4","Mac","CoreCLR","4096","00:00:00.0039578","True","00:00:00.0013936","00:00:00.0002681","7","1.059396664792955"
"QuickInstance","00:00:00.0005682","3","7.1.4","Mac","CoreCLR","36864","00:00:00.0039772","True","00:00:00.0022347","00:00:00.0001025","7","2.026390870185449"
"hashTableNEW","00:00:00.0005711","100","7.1.4","Mac","CoreCLR","8192","00:00:00.0039979","True","00:00:00.0011313","00:00:00.0003238","7","1.070076822184748"
"hashTableNEW","00:00:00.0005897","1","7.1.4","Mac","CoreCLR","69632","00:00:00.0041280","True","00:00:00.0034906","00:00:00.0000954","7","3.4485380116959066"
"DictStrIntNEW","00:00:00.0006602","21","7.1.4","Mac","CoreCLR","4096","00:00:00.0046216","True","00:00:00.0020955","00:00:00.0001369","7","2.1139929554915144"
"DictStrStrNEW","00:00:00.0008539","21","7.1.4","Mac","CoreCLR","-8192","00:00:00.0059771","True","00:00:00.0050136","00:00:00.0001450","7","2.73422990714057"
"NEWObject","00:00:00.0008793","1","7.1.4","Mac","CoreCLR","45056","00:00:00.0061548","True","00:00:00.0033502","00:00:00.0004131","7","5.1421052631578945"
"QuickInstance","00:00:00.0026725","100","7.1.4","Mac","CoreCLR","0","00:00:00.0187074","True","00:00:00.0152330","00:00:00.0003445","7","5.007494847292486"
"HashNEW","00:00:00.0033890","100","7.1.4","Mac","CoreCLR","0","00:00:00.0237233","True","00:00:00.0210622","00:00:00.0004213","7","6.350009368559116"
"DictStrIntNEW","00:00:00.0034245","1","7.1.4","Mac","CoreCLR","0","00:00:00.0239716","True","00:00:00.0234203","00:00:00.0000770","7","20.026315789473685"
"HashNEW","00:00:00.0038074","1000","7.1.4","Mac","CoreCLR","0","00:00:00.0266516","True","00:00:00.0073896","00:00:00.0020912","7","1"
"NEWObjectHash","00:00:00.0050485","1","7.1.4","Mac","CoreCLR","421888","00:00:00.0353398","True","00:00:00.0303028","00:00:00.0006701","7","29.523391812865498"
"NEWDictStrStr","00:00:00.0058341","1","7.1.4","Mac","CoreCLR","4096","00:00:00.0408385","True","00:00:00.0231396","00:00:00.0011900","7","34.117543859649125"
"HereHash","00:00:00.0082159","3","7.1.4","Mac","CoreCLR","36864","00:00:00.0575114","True","00:00:00.0500609","00:00:00.0007758","7","29.30064194008559"
"HereHash","00:00:00.0093260","1","7.1.4","Mac","CoreCLR","139264","00:00:00.0652822","True","00:00:00.0603063","00:00:00.0003457","7","54.538011695906434"
"DictStrIntNEW","00:00:00.0094344","1000","7.1.4","Mac","CoreCLR","0","00:00:00.0660405","True","00:00:00.0227383","00:00:00.0032530","7","2.4779114356253613"
"DictStrStrNEW","00:00:00.0095323","1000","7.1.4","Mac","CoreCLR","-405504","00:00:00.0667262","True","00:00:00.0286567","00:00:00.0022298","7","2.503624520670274"
"QuickInstance","00:00:00.0105590","1000","7.1.4","Mac","CoreCLR","315392","00:00:00.0739127","True","00:00:00.0232101","00:00:00.0028206","7","2.7732836056101275"
"DictStrIntNEW","00:00:00.0106565","8","7.1.4","Mac","CoreCLR","40960","00:00:00.0745952","True","00:00:00.0738831","00:00:00.0001062","7","40.28922495274102"
"DictStrStrNEW","00:00:00.0109454","13","7.1.4","Mac","CoreCLR","561152","00:00:00.0766180","True","00:00:00.0748991","00:00:00.0001253","7","42.39116963594113"
"NEWObjectHash","00:00:00.0109801","3","7.1.4","Mac","CoreCLR","57344","00:00:00.0768609","True","00:00:00.0521563","00:00:00.0016422","7","39.15870185449358"
"hashTableNEW","00:00:00.0133427","1000","7.1.4","Mac","CoreCLR","28672","00:00:00.0933988","True","00:00:00.0297116","00:00:00.0027715","7","3.50441245994642"
"NEWObject","00:00:00.0140175","3","7.1.4","Mac","CoreCLR","32768","00:00:00.0981226","True","00:00:00.0576368","00:00:00.0010395","7","49.991084165477886"
"NEWDictStrStr","00:00:00.0141138","3","7.1.4","Mac","CoreCLR","294912","00:00:00.0987969","True","00:00:00.0395418","00:00:00.0033647","7","50.334522111269614"
"NEWObject","00:00:00.0187016","8","7.1.4","Mac","CoreCLR","126976","00:00:00.1309112","True","00:00:00.0506368","00:00:00.0028300","7","70.7054820415879"
"NEWObjectHash","00:00:00.0214531","13","7.1.4","Mac","CoreCLR","167936","00:00:00.1501720","True","00:00:00.0401464","00:00:00.0080312","7","83.08714175058094"
"HereHash","00:00:00.0216193","8","7.1.4","Mac","CoreCLR","155648","00:00:00.1513354","True","00:00:00.0769635","00:00:00.0018972","7","81.73648393194706"
"HereHash","00:00:00.0226574","21","7.1.4","Mac","CoreCLR","8192","00:00:00.1586020","True","00:00:00.0406212","00:00:00.0043502","7","72.5501120717259"
"QuickInstance","00:00:00.0230403","21","7.1.4","Mac","CoreCLR","49152","00:00:00.1612824","True","00:00:00.1570814","00:00:00.0001493","7","73.776176753122"
"NEWObjectHash","00:00:00.0261414","8","7.1.4","Mac","CoreCLR","118784","00:00:00.1829898","True","00:00:00.0634905","00:00:00.0028996","7","98.83327032136106"
"HereHash","00:00:00.0418412","13","7.1.4","Mac","CoreCLR","1064960","00:00:00.2928885","True","00:00:00.1983422","00:00:00.0030704","7","162.04957397366383"
"NEWObject","00:00:00.0441107","21","7.1.4","Mac","CoreCLR","69632","00:00:00.3087748","True","00:00:00.0736102","00:00:00.0065226","7","141.24463656740315"
"HashNEW","00:00:00.0485331","10000","7.1.4","Mac","CoreCLR","417792","00:00:00.3397315","True","00:00:00.0664049","00:00:00.0389111","7","1"
"DictStrIntNEW","00:00:00.0498843","10000","7.1.4","Mac","CoreCLR","155648","00:00:00.3491901","True","00:00:00.0647264","00:00:00.0439261","7","1.0278407931906266"
"DictStrStrNEW","00:00:00.0513120","10000","7.1.4","Mac","CoreCLR","40960","00:00:00.3591837","True","00:00:00.0641861","00:00:00.0447392","7","1.0572578302230848"
"NEWDictStrStr","00:00:00.0536084","8","7.1.4","Mac","CoreCLR","913408","00:00:00.3752587","True","00:00:00.0877898","00:00:00.0365561","7","202.6782608695652"
"NEWObject","00:00:00.0594904","13","7.1.4","Mac","CoreCLR","970752","00:00:00.4164326","True","00:00:00.2992165","00:00:00.0025483","7","230.40433772269557"
"QuickInstance","00:00:00.0596876","10000","7.1.4","Mac","CoreCLR","16384","00:00:00.4178134","True","00:00:00.0648786","00:00:00.0470383","7","1.2298328357347872"
"HereHash","00:00:00.0598187","100","7.1.4","Mac","CoreCLR","409600","00:00:00.4187306","True","00:00:00.0906888","00:00:00.0357415","7","112.08300543376428"
"hashTableNEW","00:00:00.0642227","10000","7.1.4","Mac","CoreCLR","516096","00:00:00.4495591","True","00:00:00.0712376","00:00:00.0612264","7","1.3232762794876074"
"NEWObjectHash","00:00:00.0702453","21","7.1.4","Mac","CoreCLR","36864","00:00:00.4917172","True","00:00:00.1189162","00:00:00.0079960","7","224.9289145052834"
"NEWDictStrStr","00:00:00.1444742","21","7.1.4","Mac","CoreCLR","262144","00:00:01.0113196","True","00:00:00.1927402","00:00:00.0707759","7","462.6135126480948"
"NEWObject","00:00:00.1703578","100","7.1.4","Mac","CoreCLR","434176","00:00:01.1925043","True","00:00:00.4353597","00:00:00.0459235","7","319.2014240209856"
"NEWDictStrStr","00:00:00.1741637","13","7.1.4","Mac","CoreCLR","262144","00:00:01.2191462","True","00:00:00.6197980","00:00:00.0760892","7","674.5302091402014"
"DictStrIntNEW","00:00:00.1872124","100000","7.1.4","Mac","CoreCLR","-8192","00:00:01.3104866","True","00:00:00.2048693","00:00:00.1787641","7","1"
"HashNEW","00:00:00.1971307","100000","7.1.4","Mac","CoreCLR","16384","00:00:01.3799146","True","00:00:00.2143715","00:00:00.1765153","7","1.052978862511244"
"DictStrStrNEW","00:00:00.1989854","100000","7.1.4","Mac","CoreCLR","12288","00:00:01.3928981","True","00:00:00.2082967","00:00:00.1894195","7","1.0628857917531103"
"QuickInstance","00:00:00.2451541","100000","7.1.4","Mac","CoreCLR","163840","00:00:01.7160786","True","00:00:00.2567016","00:00:00.2363813","7","1.309497127327036"
"hashTableNEW","00:00:00.2605714","100000","7.1.4","Mac","CoreCLR","0","00:00:01.8239996","True","00:00:00.2813007","00:00:00.2447707","7","1.391849044187244"
"NEWObjectHash","00:00:00.2857431","100","7.1.4","Mac","CoreCLR","-176128","00:00:02.0002015","True","00:00:00.4159331","00:00:00.2251746","7","535.4002248454187"
"NEWDictStrStr","00:00:00.5256315","100","7.1.4","Mac","CoreCLR","131072","00:00:03.6794204","True","00:00:00.9291393","00:00:00.2944168","7","984.8819561551434"
"HereHash","00:00:00.5657181","1000","7.1.4","Mac","CoreCLR","40960","00:00:03.9600265","True","00:00:00.6438959","00:00:00.4873599","7","148.58383673898197"
"NEWObject","00:00:00.6538702","1000","7.1.4","Mac","CoreCLR","-1875968","00:00:04.5770917","True","00:00:00.8387759","00:00:00.5618709","7","171.73667069391186"
"NEWObjectHash","00:00:01.0685066","1000","7.1.4","Mac","CoreCLR","6778880","00:00:07.4795461","True","00:00:01.4977965","00:00:00.8242263","7","280.6394389872354"
"NEWDictStrStr","00:00:02.8693272","1000","7.1.4","Mac","CoreCLR","-323584","00:00:20.0852902","True","00:00:03.4580734","00:00:02.2594627","7","753.618532331775"
"HereHash","00:00:03.8521297","10000","7.1.4","Mac","CoreCLR","-307200","00:00:26.9649080","True","00:00:04.0060814","00:00:03.7795564","7","79.37118585048142"
"NEWObject","00:00:04.9895446","10000","7.1.4","Mac","CoreCLR","1802240","00:00:34.9268122","True","00:00:05.8240786","00:00:04.5026827","7","102.80704508881567"
