"Name","Time","TimesExec","PSVersion","OS","CLR","WorkSet","Total","Assert","Max","Min","Samples","Score"
"QuickInstance","00:00:00.0000521","1","7.1.4","Win","CoreCLR","0","00:00:00.0003644","False","00:00:00.0002667","00:00:00.0000146","7","1"
"hashTableNEW","00:00:00.0000997","3","7.1.4","Win","CoreCLR","0","00:00:00.0006979","False","00:00:00.0005103","00:00:00.0000258","7","1"
"QuickInstance","00:00:00.0001002","3","7.1.4","Win","CoreCLR","0","00:00:00.0007016","False","00:00:00.0004949","00:00:00.0000310","7","1,0050150451354063"
"DictStrIntNEW","00:00:00.0001060","13","7.1.4","Win","CoreCLR","1843200","00:00:00.0007418","False","00:00:00.0004548","00:00:00.0000400","7","1"
"HashNEW","00:00:00.0001075","3","7.1.4","Win","CoreCLR","0","00:00:00.0007523","False","00:00:00.0005712","00:00:00.0000252","7","1,078234704112337"
"DictStrStrNEW","00:00:00.0001111","3","7.1.4","Win","CoreCLR","4096","00:00:00.0007774","False","00:00:00.0004852","00:00:00.0000322","7","1,1143430290872618"
"HashNEW","00:00:00.0001112","8","7.1.4","Win","CoreCLR","0","00:00:00.0007782","False","00:00:00.0005165","00:00:00.0000397","7","1"
"DictStrIntNEW","00:00:00.0001115","8","7.1.4","Win","CoreCLR","0","00:00:00.0007805","False","00:00:00.0005303","00:00:00.0000392","7","1,0026978417266188"
"DictStrIntNEW","00:00:00.0001121","3","7.1.4","Win","CoreCLR","0","00:00:00.0007850","False","00:00:00.0005915","00:00:00.0000255","7","1,1243731193580742"
"DictStrStrNEW","00:00:00.0001196","13","7.1.4","Win","CoreCLR","45056","00:00:00.0008371","False","00:00:00.0004726","00:00:00.0000448","7","1,1283018867924528"
"QuickInstance","00:00:00.0001204","8","7.1.4","Win","CoreCLR","0","00:00:00.0008426","False","00:00:00.0005193","00:00:00.0000510","7","1,0827338129496402"
"DictStrIntNEW","00:00:00.0001245","21","7.1.4","Win","CoreCLR","0","00:00:00.0008713","False","00:00:00.0004907","00:00:00.0000586","7","1"
"hashTableNEW","00:00:00.0001261","8","7.1.4","Win","CoreCLR","0","00:00:00.0008828","False","00:00:00.0006076","00:00:00.0000427","7","1,1339928057553956"
"DictStrStrNEW","00:00:00.0001268","21","7.1.4","Win","CoreCLR","4096","00:00:00.0008878","False","00:00:00.0005293","00:00:00.0000562","7","1,0184738955823294"
"QuickInstance","00:00:00.0001381","21","7.1.4","Win","CoreCLR","0","00:00:00.0009664","False","00:00:00.0005094","00:00:00.0000710","7","1,1092369477911646"
"HashNEW","00:00:00.0001395","13","7.1.4","Win","CoreCLR","966656","00:00:00.0009768","False","00:00:00.0006248","00:00:00.0000476","7","1,3160377358490567"
"hashTableNEW","00:00:00.0001449","21","7.1.4","Win","CoreCLR","8192","00:00:00.0010145","False","00:00:00.0005721","00:00:00.0000719","7","1,163855421686747"
"QuickInstance","00:00:00.0001514","13","7.1.4","Win","CoreCLR","0","00:00:00.0010599","False","00:00:00.0006509","00:00:00.0000590","7","1,4283018867924528"
"hashTableNEW","00:00:00.0001555","13","7.1.4","Win","CoreCLR","0","00:00:00.0010883","False","00:00:00.0006266","00:00:00.0000528","7","1,4669811320754718"
"DictStrStrNEW","00:00:00.0001685","8","7.1.4","Win","CoreCLR","12288","00:00:00.0011796","False","00:00:00.0007534","00:00:00.0000664","7","1,5152877697841727"
"NEWObject","00:00:00.0002002","1","7.1.4","Win","CoreCLR","16384","00:00:00.0014017","False","00:00:00.0006440","00:00:00.0001163","7","3,8426103646833014"
"HashNEW","00:00:00.0002004","1","7.1.4","Win","CoreCLR","4096","00:00:00.0014031","False","00:00:00.0012907","00:00:00.0000150","7","3,8464491362763917"
"DictStrStrNEW","00:00:00.0002081","1","7.1.4","Win","CoreCLR","0","00:00:00.0014565","False","00:00:00.0013258","00:00:00.0000163","7","3,9942418426103647"
"hashTableNEW","00:00:00.0002388","1","7.1.4","Win","CoreCLR","8192","00:00:00.0016713","False","00:00:00.0015472","00:00:00.0000171","7","4,583493282149712"
"DictStrIntNEW","00:00:00.0002443","1","7.1.4","Win","CoreCLR","0","00:00:00.0017102","False","00:00:00.0015885","00:00:00.0000160","7","4,689059500959693"
"DictStrIntNEW","00:00:00.0002769","100","7.1.4","Win","CoreCLR","0","00:00:00.0019384","False","00:00:00.0007216","00:00:00.0001283","7","1"
"hashTableNEW","00:00:00.0002970","100","7.1.4","Win","CoreCLR","4096","00:00:00.0020791","False","00:00:00.0007933","00:00:00.0001612","7","1,0725893824485373"
"DictStrStrNEW","00:00:00.0003060","100","7.1.4","Win","CoreCLR","0","00:00:00.0021421","False","00:00:00.0008865","00:00:00.0001883","7","1,1050920910075839"
"HashNEW","00:00:00.0003149","21","7.1.4","Win","CoreCLR","1069056","00:00:00.0022044","False","00:00:00.0017528","00:00:00.0000658","7","2,529317269076305"
"HashNEW","00:00:00.0003168","100","7.1.4","Win","CoreCLR","0","00:00:00.0022176","False","00:00:00.0008478","00:00:00.0001916","7","1,1440953412784398"
"HereHash","00:00:00.0003447","3","7.1.4","Win","CoreCLR","4096","00:00:00.0024127","False","00:00:00.0007843","00:00:00.0002497","7","3,457372116349047"
"QuickInstance","00:00:00.0003550","100","7.1.4","Win","CoreCLR","0","00:00:00.0024852","False","00:00:00.0009292","00:00:00.0001573","7","1,2820512820512822"
