"Name","Time","TimesExec","PSVersion","OS","CLR","WorkSet","Total","Assert","Max","Min","Samples","Score"
"NewPSobjCUSTOMHASH","00:00:00.0003120","8","7.1.4","Mac","CoreCLR","24576","00:00:00.0021843","True","00:00:00.0011171","00:00:00.0001466","7","1"
"CastCUSTOMHash1","00:00:00.0003506","1","7.1.4","Mac","CoreCLR","4096","00:00:00.0024541","True","00:00:00.0016320","00:00:00.0000993","7","1"
"NewPSobjHASH","00:00:00.0003599","13","7.1.4","Mac","CoreCLR","20480","00:00:00.0025196","True","00:00:00.0012138","00:00:00.0002026","7","1"
"CastHash1","00:00:00.0003857","21","7.1.4","Mac","CoreCLR","0","00:00:00.0027000","True","00:00:00.0012560","00:00:00.0002192","7","1"
"NewPSobjCUSTOMHASH","00:00:00.0003931","21","7.1.4","Mac","CoreCLR","12288","00:00:00.0027514","True","00:00:00.0012935","00:00:00.0002242","7","1.0191858957739175"
"NewPSobjHASH","00:00:00.0004329","21","7.1.4","Mac","CoreCLR","0","00:00:00.0030300","True","00:00:00.0017970","00:00:00.0001032","7","1.1223749027741767"
"NewPSobjHASH","00:00:00.0004394","8","7.1.4","Mac","CoreCLR","253952","00:00:00.0030756","True","00:00:00.0014350","00:00:00.0001793","7","1.4083333333333334"
"NewPSObjCUSTOM","00:00:00.0005812","1","7.1.4","Mac","CoreCLR","24576","00:00:00.0040684","True","00:00:00.0014246","00:00:00.0003580","7","1.6577296063890474"
"CastCUSTOMHash1","00:00:00.0006366","8","7.1.4","Mac","CoreCLR","0","00:00:00.0044559","True","00:00:00.0014749","00:00:00.0003890","7","2.0403846153846152"
"CastCUSTOMHash1","00:00:00.0006973","3","7.1.4","Mac","CoreCLR","0","00:00:00.0048810","True","00:00:00.0030956","00:00:00.0002362","7","1"
"NewPSobjCUSTOMHASH","00:00:00.0007579","13","7.1.4","Mac","CoreCLR","12288","00:00:00.0053050","True","00:00:00.0033844","00:00:00.0001019","7","2.105862739649903"
"CastHash1","00:00:00.0008187","13","7.1.4","Mac","CoreCLR","4096","00:00:00.0057311","True","00:00:00.0030100","00:00:00.0001049","7","2.2747985551542094"
"CastHash1","00:00:00.0008358","8","7.1.4","Mac","CoreCLR","847872","00:00:00.0058504","True","00:00:00.0047227","00:00:00.0001526","7","2.6788461538461537"
"CastHash1","00:00:00.0008735","3","7.1.4","Mac","CoreCLR","24576","00:00:00.0061144","True","00:00:00.0050469","00:00:00.0001552","7","1.2526889430661121"
"NewPSobjCUSTOMHASH","00:00:00.0008811","100","7.1.4","Mac","CoreCLR","16384","00:00:00.0061679","True","00:00:00.0023388","00:00:00.0002874","7","1"
