"Name","Time","TimesExec","PSVersion","OS","CLR","WorkSet","Total","Assert","Max","Min","Samples","Score"
"NewPSobjCUSTOMHASH","00:00:00.0000760","1","7.1.4","Win","CoreCLR","0","00:00:00.0005319","False","00:00:00.0004360","00:00:00.0000151","7","1"
"NewPSobjCUSTOMHASH","00:00:00.0001170","3","7.1.4","Win","CoreCLR","0","00:00:00.0008193","False","00:00:00.0005675","00:00:00.0000383","7","1"
"NewPSobjHASH","00:00:00.0001315","8","7.1.4","Win","CoreCLR","0","00:00:00.0009202","False","00:00:00.0006003","00:00:00.0000482","7","1"
"CastHash1","00:00:00.0001359","3","7.1.4","Win","CoreCLR","0","00:00:00.0009515","False","00:00:00.0006347","00:00:00.0000432","7","1,1615384615384616"
"CastHash1","00:00:00.0001494","8","7.1.4","Win","CoreCLR","4096","00:00:00.0010455","False","00:00:00.0005710","00:00:00.0000695","7","1,1361216730038022"
"NewPSobjHASH","00:00:00.0001527","3","7.1.4","Win","CoreCLR","4096","00:00:00.0010690","False","00:00:00.0007716","00:00:00.0000446","7","1,3051282051282052"
"NewPSobjCUSTOMHASH","00:00:00.0001584","13","7.1.4","Win","CoreCLR","0","00:00:00.0011089","False","00:00:00.0006526","00:00:00.0000712","7","1"
"NewPSobjCUSTOMHASH","00:00:00.0001770","21","7.1.4","Win","CoreCLR","0","00:00:00.0012391","False","00:00:00.0006320","00:00:00.0000960","7","1"
"NewPSobjHASH","00:00:00.0001812","13","7.1.4","Win","CoreCLR","4096","00:00:00.0012683","False","00:00:00.0007981","00:00:00.0000716","7","1,143939393939394"
"NewPSobjCUSTOMHASH","00:00:00.0001894","8","7.1.4","Win","CoreCLR","40960","00:00:00.0013259","False","00:00:00.0008199","00:00:00.0000716","7","1,4403041825095058"
"CastCUSTOMHash1","00:00:00.0001971","3","7.1.4","Win","CoreCLR","0","00:00:00.0013800","True","00:00:00.0008146","00:00:00.0000840","7","1,6846153846153846"
"NewPSobjHASH","00:00:00.0002266","21","7.1.4","Win","CoreCLR","0","00:00:00.0015864","False","00:00:00.0009135","00:00:00.0001018","7","1,280225988700565"
"CastCUSTOMHash1","00:00:00.0002279","1","7.1.4","Win","CoreCLR","57344","00:00:00.0015956","True","00:00:00.0012986","00:00:00.0000388","7","2,998684210526316"
"CastHash1","00:00:00.0002758","13","7.1.4","Win","CoreCLR","0","00:00:00.0019305","False","00:00:00.0009528","00:00:00.0001543","7","1,7411616161616161"
"NewPSObj","00:00:00.0003114","1","7.1.4","Win","CoreCLR","0","00:00:00.0021801","True","00:00:00.0011407","00:00:00.0001484","7","4,097368421052631"
"CastHash1","00:00:00.0003228","21","7.1.4","Win","CoreCLR","4096","00:00:00.0022593","False","00:00:00.0013421","00:00:00.0001404","7","1,823728813559322"
"CastCUSTOMHash1","00:00:00.0003294","8","7.1.4","Win","CoreCLR","8192","00:00:00.0023057","True","00:00:00.0010422","00:00:00.0001870","7","2,5049429657794677"
"NewPSobjHASH","00:00:00.0003505","100","7.1.4","Win","CoreCLR","0","00:00:00.0024537","False","00:00:00.0008823","00:00:00.0001009","7","1"
"NewPSobjCUSTOMHASH","00:00:00.0003599","100","7.1.4","Win","CoreCLR","135168","00:00:00.0025192","False","00:00:00.0008565","00:00:00.0001105","7","1,0268188302425107"
"CastCUSTOMHash1","00:00:00.0004032","21","7.1.4","Win","CoreCLR","4096","00:00:00.0028221","True","00:00:00.0009849","00:00:00.0002568","7","2,2779661016949153"
"CastCUSTOMHash1","00:00:00.0004108","13","7.1.4","Win","CoreCLR","4096","00:00:00.0028754","True","00:00:00.0010539","00:00:00.0002824","7","2,5934343434343434"
"NewPSobjHASH","00:00:00.0004676","1","7.1.4","Win","CoreCLR","20480","00:00:00.0032734","False","00:00:00.0031109","00:00:00.0000191","7","6,152631578947369"
"CastHash1","00:00:00.0004784","1","7.1.4","Win","CoreCLR","8192","00:00:00.0033490","False","00:00:00.0031644","00:00:00.0000249","7","6,294736842105263"
"NewPSObjCUSTOM","00:00:00.0004813","1","7.1.4","Win","CoreCLR","262144","00:00:00.0033691","True","00:00:00.0024836","00:00:00.0001300","7","6,332894736842105"
"NewPSObjCUSTOM","00:00:00.0004988","3","7.1.4","Win","CoreCLR","0","00:00:00.0034918","True","00:00:00.0012291","00:00:00.0003384","7","4,263247863247863"
"CastHash1","00:00:00.0005218","100","7.1.4","Win","CoreCLR","3158016","00:00:00.0036524","False","00:00:00.0010277","00:00:00.0004104","7","1,4887303851640514"
"NewPSObj","00:00:00.0005937","3","7.1.4","Win","CoreCLR","0","00:00:00.0041557","True","00:00:00.0012513","00:00:00.0004231","7","5,074358974358974"
"NewPSobjHASH","00:00:00.0008567","1000","7.1.4","Win","CoreCLR","12288","00:00:00.0059966","False","00:00:00.0030001","00:00:00.0004801","7","1"
"NewPSObjCUSTOM","00:00:00.0010071","8","7.1.4","Win","CoreCLR","4096","00:00:00.0070497","True","00:00:00.0016155","00:00:00.0008747","7","7,658555133079848"
"NewPSObj","00:00:00.0011247","8","7.1.4","Win","CoreCLR","8192","00:00:00.0078728","True","00:00:00.0018957","00:00:00.0008200","7","8,552851711026616"
"NewPSobjCUSTOMHASH","00:00:00.0011651","1000","7.1.4","Win","CoreCLR","4096","00:00:00.0081555","False","00:00:00.0031934","00:00:00.0006736","7","1,3599859927629274"
"CastCUSTOMHash1","00:00:00.0013152","100","7.1.4","Win","CoreCLR","2596864","00:00:00.0092064","True","00:00:00.0019256","00:00:00.0010878","7","3,7523537803138374"
"NewPSObj","00:00:00.0018641","13","7.1.4","Win","CoreCLR","0","00:00:00.0130485","True","00:00:00.0024939","00:00:00.0015652","7","11,768308080808081"
"CastHash1","00:00:00.0020031","1000","7.1.4","Win","CoreCLR","8192","00:00:00.0140218","False","00:00:00.0034702","00:00:00.0017041","7","2,338158048324968"
"NewPSObjCUSTOM","00:00:00.0022393","13","7.1.4","Win","CoreCLR","0","00:00:00.0156753","True","00:00:00.0028942","00:00:00.0016348","7","14,13699494949495"
"NewPSObjCUSTOM","00:00:00.0025114","21","7.1.4","Win","CoreCLR","0","00:00:00.0175796","True","00:00:00.0033805","00:00:00.0022659","7","14,188700564971752"
"NewPSObj","00:00:00.0049336","21","7.1.4","Win","CoreCLR","393216","00:00:00.0345349","True","00:00:00.0187983","00:00:00.0021887","7","27,873446327683617"
"CastCUSTOMHash1","00:00:00.0079969","1000","7.1.4","Win","CoreCLR","180224","00:00:00.0559785","True","00:00:00.0125656","00:00:00.0046049","7","9,334539512081243"
"NewPSobjCUSTOMHASH","00:00:00.0080295","10000","7.1.4","Win","CoreCLR","0","00:00:00.0562062","False","00:00:00.0110863","00:00:00.0062130","7","1"
"NewPSobjHASH","00:00:00.0085002","10000","7.1.4","Win","CoreCLR","4096","00:00:00.0595014","False","00:00:00.0103364","00:00:00.0060176","7","1,0586213338314963"
"NewPSObjCUSTOM","00:00:00.0119688","100","7.1.4","Win","CoreCLR","937984","00:00:00.0837816","True","00:00:00.0143309","00:00:00.0101330","7","34,147788873038515"
"NewPSObj","00:00:00.0120328","100","7.1.4","Win","CoreCLR","1757184","00:00:00.0842297","True","00:00:00.0207696","00:00:00.0095697","7","34,33038516405136"
"CastHash1","00:00:00.0146868","10000","7.1.4","Win","CoreCLR","-21917696","00:00:00.1028078","False","00:00:00.0240148","00:00:00.0111345","7","1,8291051746684102"
"CastCUSTOMHash1","00:00:00.0981618","10000","7.1.4","Win","CoreCLR","11284480","00:00:00.6871326","True","00:00:00.1225207","00:00:00.0748391","7","12,225144778628806"
"NewPSObj","00:00:00.1017948","1000","7.1.4","Win","CoreCLR","5599232","00:00:00.7125637","True","00:00:00.1099335","00:00:00.0941881","7","118,8219913622038"
"NewPSObjCUSTOM","00:00:00.1122288","1000","7.1.4","Win","CoreCLR","5296128","00:00:00.7856016","True","00:00:00.1195090","00:00:00.1060368","7","131,00128399673164"
"NewPSobjCUSTOMHASH","00:00:00.1462146","100000","7.1.4","Win","CoreCLR","4096","00:00:01.0235024","False","00:00:00.1571526","00:00:00.1390240","7","1"
"NewPSobjHASH","00:00:00.1482173","100000","7.1.4","Win","CoreCLR","-16384","00:00:01.0375211","False","00:00:00.1544617","00:00:00.1386635","7","1,0136969905878073"
"CastHash1","00:00:00.1957632","100000","7.1.4","Win","CoreCLR","-123568128","00:00:01.3703424","False","00:00:00.2076956","00:00:00.1905795","7","1,3388758714929974"
"NewPSObj","00:00:00.8105515","10000","7.1.4","Win","CoreCLR","48869376","00:00:05.6738607","True","00:00:00.8450690","00:00:00.7431386","7","100,9466965564481"
"NewPSObjCUSTOM","00:00:01.0003441","10000","7.1.4","Win","CoreCLR","39870464","00:00:07.0024088","True","00:00:01.0458027","00:00:00.9648719","7","124,58361043651534"
"CastCUSTOMHash1","00:00:01.0018989","100000","7.1.4","Win","CoreCLR","302407680","00:00:07.0132925","True","00:00:01.2690211","00:00:00.8786642","7","6,852249364974496"
"NewPSObj","00:00:08.9784142","100000","7.1.4","Win","CoreCLR","341110784","00:01:02.8488993","True","00:00:10.2208055","00:00:07.8643063","7","61,40572966037591"
"NewPSObjCUSTOM","00:00:11.3541221","100000","7.1.4","Win","CoreCLR","237932544","00:01:19.4788544","True","00:00:12.6359992","00:00:09.4409392","7","77,65381911245525"
