"Name","Time","TimesExec","PSVersion","OS","CLR","WorkSet","Total","Assert","Max","Min","Samples","Score"
"Generic.HashSet","00:00:00.0000608","21","7.1.4","Mac","CoreCLR","20480","00:00:00.0002431","True","00:00:00.0000837","00:00:00.0000489","4","1"
"Linq-Distinct","00:00:00.0000742","13","7.1.4","Mac","CoreCLR","4096","00:00:00.0002967","True","00:00:00.0000876","00:00:00.0000644","4","1"
"Generic.HashSet","00:00:00.0000751","8","7.1.4","Mac","CoreCLR","0","00:00:00.0003004","True","00:00:00.0000930","00:00:00.0000676","4","1"
"Linq-Distinct","00:00:00.0000807","8","7.1.4","Mac","CoreCLR","0","00:00:00.0003229","True","00:00:00.0000875","00:00:00.0000750","4","1.0745672436751"
"Linq-Distinct","00:00:00.0000840","100","7.1.4","Mac","CoreCLR","0","00:00:00.0003359","True","00:00:00.0001080","00:00:00.0000683","4","1"
"Linq-Distinct","00:00:00.0000848","10000","7.1.4","Mac","CoreCLR","0","00:00:00.0003392","True","00:00:00.0001148","00:00:00.0000648","4","1"
"Linq-Distinct","00:00:00.0000936","1000","7.1.4","Mac","CoreCLR","0","00:00:00.0003746","True","00:00:00.0001133","00:00:00.0000524","4","1"
"Generic.HashSet","00:00:00.0000960","1000","7.1.4","Mac","CoreCLR","65536","00:00:00.0003842","True","00:00:00.0001447","00:00:00.0000734","4","1.0256410256410255"
"Linq-Distinct","00:00:00.0001004","3","7.1.4","Mac","CoreCLR","12288","00:00:00.0004017","True","00:00:00.0001113","00:00:00.0000874","4","1"
"Generic.HashSet","00:00:00.0001008","10000","7.1.4","Mac","CoreCLR","61440","00:00:00.0004030","True","00:00:00.0001576","00:00:00.0000703","4","1.1886792452830188"
"Linq-Distinct","00:00:00.0001100","21","7.1.4","Mac","CoreCLR","65536","00:00:00.0004402","True","00:00:00.0001408","00:00:00.0000953","4","1.8092105263157894"
"Generic.HashSet","00:00:00.0001362","13","7.1.4","Mac","CoreCLR","0","00:00:00.0005449","True","00:00:00.0002328","00:00:00.0000983","4","1.8355795148247978"
"Generic.HashSet","00:00:00.0001478","3","7.1.4","Mac","CoreCLR","0","00:00:00.0005911","True","00:00:00.0003131","00:00:00.0000839","4","1.4721115537848606"
"Select-Object","00:00:00.0003475","10000","7.1.4","Mac","CoreCLR","90112","00:00:00.0013900","True","00:00:00.0003977","00:00:00.0003232","4","4.097877358490566"
"Select-Object","00:00:00.0004190","1000","7.1.4","Mac","CoreCLR","0","00:00:00.0016762","True","00:00:00.0004953","00:00:00.0003642","4","4.476495726495727"
"Select-Object","00:00:00.0004502","8","7.1.4","Mac","CoreCLR","0","00:00:00.0018007","True","00:00:00.0005559","00:00:00.0003570","4","5.994673768308921"
"Select-Object","00:00:00.0004963","21","7.1.4","Mac","CoreCLR","0","00:00:00.0019852","True","00:00:00.0006958","00:00:00.0004106","4","8.162828947368421"
"Sort-Object","00:00:00.0004965","3","7.1.4","Mac","CoreCLR","0","00:00:00.0019861","True","00:00:00.0006075","00:00:00.0004254","4","4.945219123505976"
"Sort-Object","00:00:00.0005128","13","7.1.4","Mac","CoreCLR","4096","00:00:00.0020512","True","00:00:00.0006122","00:00:00.0004726","4","6.9110512129380055"
"Sort-Object","00:00:00.0005191","21","7.1.4","Mac","CoreCLR","0","00:00:00.0020764","True","00:00:00.0007471","00:00:00.0004235","4","8.537828947368421"
"Sort-Object","00:00:00.0005516","100","7.1.4","Mac","CoreCLR","0","00:00:00.0022063","True","00:00:00.0007595","00:00:00.0003970","4","6.566666666666666"
"Get-Unique","00:00:00.0006396","1000","7.1.4","Mac","CoreCLR","40960","00:00:00.0025585","True","00:00:00.0007589","00:00:00.0005553","4","6.833333333333333"
