"Name","Time","TimesExec","PSVersion","OS","CLR","WorkSet","Total","Assert","Max","Min","Samples","Score"
"Generic.HashSet","00:00:00.0000244","8","7.1.4","Win","CoreCLR","0","00:00:00.0000978","True","00:00:00.0000401","00:00:00.0000178","4","1"
"Generic.HashSet","00:00:00.0000332","100","7.1.4","Win","CoreCLR","0","00:00:00.0001326","True","00:00:00.0000557","00:00:00.0000247","4","1"
"Generic.HashSet","00:00:00.0000334","1000","7.1.4","Win","CoreCLR","327680","00:00:00.0001335","True","00:00:00.0000574","00:00:00.0000247","4","1"
"Generic.HashSet","00:00:00.0000344","3","7.1.4","Win","CoreCLR","0","00:00:00.0001376","True","00:00:00.0000560","00:00:00.0000253","4","1"
"Linq-Distinct","00:00:00.0000348","1000","7.1.4","Win","CoreCLR","241664","00:00:00.0001393","True","00:00:00.0000580","00:00:00.0000249","4","1,0419161676646707"
"Generic.HashSet","00:00:00.0000368","21","7.1.4","Win","CoreCLR","0","00:00:00.0001474","True","00:00:00.0000633","00:00:00.0000249","4","1"
"Linq-Distinct","00:00:00.0000378","100","7.1.4","Win","CoreCLR","0","00:00:00.0001510","True","00:00:00.0000554","00:00:00.0000271","4","1,1385542168674698"
"Linq-Distinct","00:00:00.0000379","21","7.1.4","Win","CoreCLR","0","00:00:00.0001516","True","00:00:00.0000605","00:00:00.0000288","4","1,0298913043478262"
"Linq-Distinct","00:00:00.0000385","10000","7.1.4","Win","CoreCLR","0","00:00:00.0001540","True","00:00:00.0000693","00:00:00.0000274","4","1"
"Linq-Distinct","00:00:00.0000400","8","7.1.4","Win","CoreCLR","0","00:00:00.0001600","True","00:00:00.0000657","00:00:00.0000313","4","1,639344262295082"
"Generic.HashSet","00:00:00.0000415","13","7.1.4","Win","CoreCLR","0","00:00:00.0001659","True","00:00:00.0000643","00:00:00.0000331","4","1"
"Linq-Distinct","00:00:00.0000426","13","7.1.4","Win","CoreCLR","0","00:00:00.0001703","True","00:00:00.0000690","00:00:00.0000289","4","1,0265060240963855"
"Generic.HashSet","00:00:00.0000454","10000","7.1.4","Win","CoreCLR","0","00:00:00.0001818","True","00:00:00.0000742","00:00:00.0000350","4","1,1792207792207792"
"Linq-Distinct","00:00:00.0000471","3","7.1.4","Win","CoreCLR","0","00:00:00.0001885","True","00:00:00.0001106","00:00:00.0000239","4","1,369186046511628"
"Select-Object","00:00:00.0001150","13","7.1.4","Win","CoreCLR","1081344","00:00:00.0004601","True","00:00:00.0001446","00:00:00.0001036","4","2,7710843373493974"
"Select-Object","00:00:00.0001312","8","7.1.4","Win","CoreCLR","0","00:00:00.0005249","True","00:00:00.0001562","00:00:00.0001178","4","5,377049180327869"
"Select-Object","00:00:00.0001406","10000","7.1.4","Win","CoreCLR","0","00:00:00.0005625","True","00:00:00.0001738","00:00:00.0001207","4","3,651948051948052"
"Get-Unique","00:00:00.0001421","8","7.1.4","Win","CoreCLR","0","00:00:00.0005684","True","00:00:00.0001945","00:00:00.0001219","4","5,823770491803279"
"Select-Object","00:00:00.0001543","100","7.1.4","Win","CoreCLR","0","00:00:00.0006171","True","00:00:00.0001896","00:00:00.0001323","4","4,647590361445783"
"Sort-Object","00:00:00.0001546","10000","7.1.4","Win","CoreCLR","0","00:00:00.0006183","True","00:00:00.0002217","00:00:00.0001254","4","4,015584415584415"
"Sort-Object","00:00:00.0001546","100","7.1.4","Win","CoreCLR","0","00:00:00.0006184","True","00:00:00.0002025","00:00:00.0001337","4","4,656626506024097"
"Sort-Object","00:00:00.0001625","1000","7.1.4","Win","CoreCLR","0","00:00:00.0006500","True","00:00:00.0002219","00:00:00.0001351","4","4,865269461077844"
"Select-Object","00:00:00.0001661","1000","7.1.4","Win","CoreCLR","4096","00:00:00.0006645","True","00:00:00.0002302","00:00:00.0001306","4","4,973053892215569"
"Sort-Object","00:00:00.0001709","3","7.1.4","Win","CoreCLR","0","00:00:00.0006835","True","00:00:00.0002372","00:00:00.0001456","4","4,968023255813954"
"Sort-Object","00:00:00.0001746","8","7.1.4","Win","CoreCLR","0","00:00:00.0006983","True","00:00:00.0002326","00:00:00.0001507","4","7,155737704918033"
"Select-Object","00:00:00.0001750","3","7.1.4","Win","CoreCLR","0","00:00:00.0006999","True","00:00:00.0001880","00:00:00.0001526","4","5,087209302325581"
"Get-Unique","00:00:00.0002006","100","7.1.4","Win","CoreCLR","0","00:00:00.0008025","True","00:00:00.0002581","00:00:00.0001659","4","6,042168674698795"
"Get-Unique","00:00:00.0002013","1000","7.1.4","Win","CoreCLR","40960","00:00:00.0008053","True","00:00:00.0002700","00:00:00.0001675","4","6,026946107784431"
"Select-Object","00:00:00.0002034","21","7.1.4","Win","CoreCLR","0","00:00:00.0008135","True","00:00:00.0002653","00:00:00.0001745","4","5,5271739130434785"
"Sort-Object","00:00:00.0002067","21","7.1.4","Win","CoreCLR","16384","00:00:00.0008268","True","00:00:00.0003543","00:00:00.0001511","4","5,616847826086956"
"Sort-Object","00:00:00.0002228","13","7.1.4","Win","CoreCLR","0","00:00:00.0008910","True","00:00:00.0002867","00:00:00.0001842","4","5,36867469879518"
"Get-Unique","00:00:00.0002256","3","7.1.4","Win","CoreCLR","0","00:00:00.0009024","True","00:00:00.0002671","00:00:00.0001811","4","6,558139534883721"
"Get-Unique","00:00:00.0002497","21","7.1.4","Win","CoreCLR","0","00:00:00.0009987","True","00:00:00.0003161","00:00:00.0002063","4","6,7853260869565215"
"Get-Unique","00:00:00.0002871","13","7.1.4","Win","CoreCLR","0","00:00:00.0011484","True","00:00:00.0003518","00:00:00.0002198","4","6,918072289156626"
"Generic.HashSet","00:00:00.0003674","1","7.1.4","Win","CoreCLR","8192","00:00:00.0014694","True","00:00:00.0013590","00:00:00.0000268","4","1"
"Get-Unique","00:00:00.0003957","10000","7.1.4","Win","CoreCLR","0","00:00:00.0015829","True","00:00:00.0004494","00:00:00.0003465","4","10,277922077922078"
"Sort-Object","00:00:00.0004200","1","7.1.4","Win","CoreCLR","0","00:00:00.0016798","True","00:00:00.0012804","00:00:00.0001219","4","1,1431682090364725"
"Get-Unique","00:00:00.0006757","1","7.1.4","Win","CoreCLR","4096","00:00:00.0027029","True","00:00:00.0021519","00:00:00.0001472","4","1,8391399020141534"
"Select-Object","00:00:00.0010833","1","7.1.4","Win","CoreCLR","335872","00:00:00.0043333","True","00:00:00.0039750","00:00:00.0000985","4","2,948557430593359"
"Linq-Distinct","00:00:00.0037112","1","7.1.4","Win","CoreCLR","274432","00:00:00.0148448","True","00:00:00.0147095","00:00:00.0000258","4","10,101252041371803"
